,company,industry,paper_class,kmean_class,bert,bag of words,pvdm 50 length,pvdbow 50 length,pvdm 100 length,pvdbow 100 length,pvdm 150 length,pvdbow 150 length,pvdm 200 length,pvdbow 200 length,pvdm 250 length,pvdbow 250 length,pvdm 300 length,pvdbow 300 length,pvdm 350 length,pvdbow 350 length,pvdm 400 length,pvdbow 400 length,lsi 200 length,lsi 300 length,lsi 400 length,lsi 500 length,lsi 600 length,lsi 700 length,lsi 800 length,lsi 900 length,lsi 1000 length,lsi 1100 length
0,600000.SH,44,13,16,53,13,23,13,27,49,38,25,34,35,37,1,20,28,38,26,30,5,1,2,8,18,43,36,41,27,35,18
1,600004.SH,20,12,20,53,12,17,13,23,49,11,25,5,35,31,10,4,52,6,17,52,26,30,38,9,42,18,33,36,11,24,3
2,600006.SH,22,39,9,53,11,17,13,23,49,4,25,18,19,18,49,27,38,48,17,4,53,14,38,11,16,50,32,58,28,24,6
3,600007.SH,65,36,54,53,31,43,13,50,49,32,25,3,46,1,44,11,52,48,48,39,7,4,12,52,38,0,36,18,29,16,47
4,600008.SH,63,1,20,53,50,17,13,50,49,26,25,5,16,10,44,34,52,1,41,17,14,52,24,9,42,12,32,36,11,9,41
5,600009.SH,20,12,20,53,12,41,13,54,49,28,25,43,34,6,23,51,11,8,19,26,14,17,38,9,18,48,6,58,11,56,3
6,600010.SH,5,14,9,53,16,48,13,32,49,49,25,29,26,44,20,10,13,34,23,53,53,17,38,18,18,50,6,36,14,24,3
7,600011.SH,64,15,14,53,50,48,13,7,49,17,25,16,19,7,45,50,40,12,23,37,53,46,26,16,18,0,50,58,6,35,5
8,600012.SH,20,3,15,53,50,20,13,50,49,56,25,47,19,37,48,13,28,25,23,52,33,1,42,7,51,0,14,58,29,24,3
9,600015.SH,44,13,16,53,13,17,13,12,49,34,25,58,35,32,44,28,38,24,20,26,9,1,22,8,18,43,36,6,27,35,18
