,company,industry,kmean_class,bert,bag of words,pvdm 50 length,pvdbow 50 length,pvdm 100 length,pvdbow 100 length,pvdm 150 length,pvdbow 150 length,pvdm 200 length,pvdbow 200 length,pvdm 250 length,pvdbow 250 length,pvdm 300 length,pvdbow 300 length,pvdm 350 length,pvdbow 350 length,pvdm 400 length,pvdbow 400 length,lsi 200 length,lsi 300 length,lsi 400 length,lsi 500 length,lsi 600 length,lsi 700 length,lsi 800 length,lsi 900 length,lsi 1000 length,lsi 1100 length,paper_class
0,600000.SH,44,56,54,46,43,10,51,24,7,6,16,45,19,54,57,39,54,33,21,34,39,53,55,1,2,15,13,30,4,11,16
1,600004.SH,20,18,51,52,31,10,7,24,43,6,15,4,17,15,35,41,36,16,33,34,6,26,14,14,28,12,56,4,4,4,52
2,600006.SH,22,31,38,44,13,10,38,24,12,6,54,1,10,28,34,13,13,17,43,22,6,58,45,27,35,53,51,16,50,57,47
3,600007.SH,65,47,43,27,13,10,16,24,23,6,54,43,44,41,32,9,39,34,25,34,48,56,14,14,52,12,56,6,43,7,24
4,600008.SH,63,41,6,41,13,10,57,24,23,6,54,24,44,3,30,33,39,4,25,34,35,58,21,33,25,4,56,4,23,32,48
5,600009.SH,20,18,28,30,31,10,39,24,17,6,30,52,17,36,37,41,30,16,13,34,6,26,14,14,28,12,37,4,4,4,52
6,600010.SH,5,34,18,41,29,10,30,24,29,6,19,27,29,30,24,30,53,16,3,34,6,51,25,37,56,9,56,4,27,12,49
7,600011.SH,64,1,11,41,28,10,51,24,46,6,6,1,23,9,12,56,43,33,39,34,39,35,17,40,42,4,30,30,26,57,36
8,600012.SH,20,45,43,15,31,10,26,24,8,6,30,20,36,28,29,43,19,23,33,50,6,26,45,18,1,55,56,41,50,57,38
9,600015.SH,44,56,54,39,22,10,37,24,46,6,43,4,27,14,41,41,45,16,36,34,39,53,55,1,2,15,13,30,4,11,16
10,600016.SH,44,56,54,39,33,10,51,24,7,6,32,56,15,35,26,41,7,16,46,34,39,53,55,1,2,15,13,30,4,11,16
11,600017.SH,20,28,26,30,57,10,48,24,23,6,54,56,44,21,32,5,39,21,25,34,48,26,35,52,1,12,56,38,50,57,52
12,600018.SH,20,28,28,39,13,10,16,24,23,6,54,43,44,9,32,9,39,1,25,34,48,26,35,52,1,12,37,38,50,57,52
13,600019.SH,5,34,18,41,14,10,37,24,30,6,24,34,27,36,6,3,54,16,0,34,6,51,25,37,56,9,13,36,27,46,49
14,600020.SH,20,45,5,12,34,10,20,24,7,6,51,56,27,11,6,33,32,38,36,34,6,58,15,6,1,12,56,6,33,57,10
15,600021.SH,64,1,26,41,13,10,16,24,23,6,54,41,44,21,32,42,39,39,25,35,39,35,17,22,42,4,30,30,29,57,36
16,600022.SH,5,34,18,41,36,10,43,24,12,6,54,20,44,21,32,17,13,39,25,53,6,51,25,37,56,9,56,38,50,58,49
17,600023.SH,64,1,26,41,13,10,57,24,23,6,54,7,44,3,32,50,39,46,25,34,39,35,17,22,42,4,30,30,29,57,36
18,600025.SH,64,1,26,41,54,10,27,24,28,6,47,24,35,32,17,41,4,16,16,34,6,40,15,17,42,4,6,16,53,32,24
19,600026.SH,1,33,26,35,12,10,37,24,7,6,24,24,2,10,12,41,7,16,46,34,6,4,45,52,20,23,13,36,8,57,52
20,600027.SH,64,1,26,41,23,10,51,24,7,6,55,7,32,21,20,33,35,22,21,34,39,35,17,22,42,4,30,30,29,57,36
21,600028.SH,1,30,50,39,41,10,37,24,30,6,6,56,2,33,26,41,35,16,0,34,6,54,45,22,11,12,19,4,26,57,2
22,600029.SH,17,33,28,41,48,10,26,24,33,6,15,14,51,36,35,3,58,16,45,34,48,26,45,52,28,51,13,4,20,57,52
23,600030.SH,47,15,54,41,13,10,38,24,12,6,54,41,10,9,34,39,13,1,43,34,39,53,7,1,16,6,30,11,4,8,16
24,600031.SH,12,35,29,13,13,10,16,24,23,6,54,36,44,54,32,25,39,28,25,47,6,58,45,37,58,53,37,4,50,57,25
25,600033.SH,20,45,5,46,34,10,37,24,7,6,43,41,27,41,38,56,8,58,29,34,48,26,15,3,28,12,56,6,43,57,10
26,600035.SH,20,36,8,35,49,10,51,24,7,6,43,4,27,33,26,41,41,16,46,34,6,43,17,52,1,12,2,16,4,49,33
27,600036.SH,44,56,54,46,43,10,37,24,45,6,43,4,45,15,8,54,41,16,2,34,39,53,55,1,2,15,13,30,25,11,16
28,600037.SH,57,8,8,32,36,10,24,24,25,6,54,41,10,28,14,7,34,31,43,32,6,26,17,52,9,55,25,4,4,7,11
29,600038.SH,7,40,21,35,13,25,16,24,23,6,54,26,44,25,32,23,39,30,25,38,6,58,45,27,35,53,45,35,50,3,35
30,600039.SH,9,45,5,10,36,10,1,24,46,6,32,1,18,9,20,39,17,47,12,34,6,18,17,14,28,12,56,6,33,57,10
31,600048.SH,65,47,48,12,13,10,23,24,12,6,54,43,44,39,32,9,13,46,25,34,40,18,57,14,16,4,30,6,33,7,24
32,600050.SH,56,36,8,27,57,10,33,24,41,6,34,43,47,28,52,9,33,34,43,34,6,58,21,1,1,55,37,35,4,2,29
33,600051.SH,13,47,43,12,13,10,16,24,23,6,54,36,44,26,32,25,39,26,25,21,6,26,21,14,52,12,52,6,43,7,24
34,600052.SH,65,47,48,31,13,10,57,24,23,6,54,9,44,52,32,23,39,30,25,44,40,26,17,14,2,4,43,6,33,7,10
35,600053.SH,47,29,48,12,57,10,1,24,25,6,54,36,44,9,46,25,33,58,25,34,4,26,57,14,52,22,2,6,33,7,24
36,600054.SH,26,19,43,12,35,10,19,24,51,6,0,36,15,41,47,25,42,28,44,47,6,26,45,44,28,12,13,6,33,57,24
37,600055.SH,38,54,14,6,13,10,38,24,25,6,54,7,10,21,5,33,39,34,25,34,6,57,6,9,35,45,37,30,50,11,7
38,600056.SH,13,18,14,46,13,10,38,24,25,6,54,43,10,9,49,56,39,22,25,34,6,56,45,57,49,55,56,16,28,11,24
39,600057.SH,16,33,28,12,15,10,12,24,12,6,54,20,44,3,55,42,34,23,43,21,6,56,45,14,28,12,13,38,33,7,52
40,600058.SH,13,34,16,41,31,10,44,24,11,6,37,49,24,30,24,34,22,16,28,34,6,56,35,37,18,30,56,36,33,32,54
41,600059.SH,33,0,34,39,6,10,34,24,0,6,54,36,38,9,30,39,25,1,30,34,6,56,45,22,28,53,19,26,50,23,57
42,600060.SH,23,53,44,13,36,10,42,24,44,6,32,13,45,41,58,50,42,34,18,34,6,56,45,27,10,55,34,4,50,2,26
43,600061.SH,47,29,54,41,34,10,26,24,17,6,3,54,29,36,4,3,36,16,33,34,6,2,20,1,16,6,30,36,4,8,16
44,600062.SH,42,54,49,42,36,10,38,24,39,6,13,1,45,3,8,13,42,17,12,22,6,35,6,4,0,45,21,16,50,8,7
45,600063.SH,2,22,55,39,46,10,37,24,7,6,6,2,27,36,38,41,7,16,44,34,6,58,45,22,28,30,19,38,28,46,38
46,600064.SH,65,47,43,17,48,10,31,24,0,6,24,4,45,44,57,54,5,16,49,34,6,26,48,14,51,53,7,6,33,7,24
47,600066.SH,12,35,41,53,31,10,55,24,2,6,53,4,6,5,29,54,51,16,36,34,6,26,45,52,1,55,56,4,50,57,52
48,600067.SH,65,10,48,12,13,10,23,24,23,6,54,20,44,3,32,42,39,8,25,8,39,41,29,14,2,4,30,6,33,7,24
49,600068.SH,9,21,12,10,57,10,48,24,12,6,54,36,40,54,14,25,3,58,12,47,48,58,15,12,51,1,56,6,50,57,10
50,600069.SH,6,32,3,34,23,10,23,24,51,6,13,56,18,40,34,57,33,38,43,34,40,56,45,1,8,48,13,10,43,8,22
51,600070.SH,25,18,47,51,31,10,11,24,48,6,17,56,52,5,24,41,57,16,3,34,6,27,45,45,25,18,25,4,50,57,20
52,600071.SH,53,53,40,13,57,15,23,24,23,6,54,26,44,48,32,23,39,48,25,38,6,26,45,27,25,31,37,4,50,40,41
53,600072.SH,9,18,18,32,13,10,43,24,23,6,54,20,44,9,32,25,13,1,25,34,6,26,10,37,18,55,37,35,50,40,52
54,600073.SH,34,0,34,51,57,10,6,24,25,6,54,41,10,28,34,7,25,17,25,38,6,58,45,27,28,55,52,38,50,16,46
55,600075.SH,2,43,55,52,3,10,37,24,7,6,6,45,58,41,38,39,8,41,53,34,6,58,45,22,25,55,0,38,50,57,28
56,600076.SH,6,50,3,44,36,10,48,24,41,6,54,41,25,31,34,13,25,30,43,22,6,26,45,27,11,30,19,38,50,57,32
57,600077.SH,65,47,48,12,13,10,38,24,23,6,54,22,10,41,32,9,34,21,25,34,6,26,10,3,1,22,56,4,33,7,53
58,600078.SH,2,43,50,45,13,51,16,24,23,27,54,33,44,25,32,23,39,6,25,14,6,56,26,22,1,55,36,38,50,58,28
59,600079.SH,42,14,49,51,57,10,6,24,12,6,54,20,44,50,14,23,13,30,25,44,6,35,56,45,25,45,21,28,50,7,27
60,600080.SH,42,48,14,14,57,10,12,24,25,6,54,41,10,12,34,56,13,58,25,47,6,3,11,10,0,12,25,2,50,23,24
61,600081.SH,21,40,21,42,13,10,16,24,23,6,54,36,44,41,32,25,39,28,25,47,6,58,45,27,20,53,45,35,28,24,31
62,600082.SH,53,47,5,12,57,10,15,24,23,6,54,36,44,12,34,25,13,58,25,47,26,26,45,3,9,40,2,6,33,7,24
63,600083.SH,9,18,27,22,8,10,44,24,28,6,1,15,29,30,24,30,57,16,56,34,6,26,45,22,1,55,37,30,33,27,53
64,600084.SH,33,47,5,14,36,25,15,24,23,6,54,9,10,52,32,23,39,30,25,44,6,26,49,15,24,53,18,6,33,7,57
65,600085.SH,42,2,14,51,57,10,38,24,25,6,54,41,10,56,49,7,44,31,25,11,17,35,6,29,0,28,21,31,50,43,27
66,600086.SH,25,38,54,51,31,10,39,24,3,6,3,24,52,36,29,3,30,16,37,34,39,58,45,14,18,9,13,4,43,57,54
67,600088.SH,58,24,8,12,36,10,12,24,41,6,13,20,10,21,23,42,6,23,43,12,6,56,48,44,0,12,21,38,50,32,11
68,600089.SH,10,50,10,41,37,10,48,24,27,6,54,1,45,3,7,7,42,17,43,38,6,11,45,27,58,4,37,35,50,0,33
69,600090.SH,39,48,14,46,57,10,24,24,27,6,52,25,54,9,46,39,31,47,25,34,17,35,6,29,0,46,21,2,50,8,27
70,600091.SH,2,39,55,51,31,10,25,24,3,6,17,15,36,30,56,34,9,16,7,34,6,56,26,22,1,55,37,36,50,16,28
71,600093.SH,16,33,28,27,43,10,51,24,25,6,23,4,23,2,5,3,42,16,12,34,39,53,10,14,10,12,13,4,50,21,24
72,600094.SH,65,10,54,12,13,10,16,24,23,6,54,41,44,28,32,7,39,31,25,38,39,1,4,1,2,4,30,6,33,7,24
73,600095.SH,65,47,34,12,13,10,16,24,23,6,54,46,44,9,32,56,39,33,25,34,6,26,45,51,50,4,42,6,33,7,24
74,600096.SH,2,39,55,34,14,10,56,24,7,6,20,43,15,41,39,9,42,41,49,34,6,26,26,22,18,30,37,4,50,57,44
75,600097.SH,34,18,34,51,6,10,12,24,45,6,25,41,12,1,2,23,42,30,12,44,6,26,45,9,1,55,56,36,58,57,43
76,600098.SH,64,16,26,41,40,10,42,24,51,6,42,9,45,54,57,56,12,58,46,47,38,2,35,19,53,12,13,14,33,57,44
77,600099.SH,22,27,38,0,14,10,37,24,7,6,6,25,2,9,26,39,38,41,0,34,6,58,45,27,35,53,37,35,26,40,25
78,600100.SH,52,58,13,27,23,10,42,24,46,6,34,43,15,41,7,56,32,38,57,34,6,26,57,9,25,55,37,35,4,23,29
79,600101.SH,60,1,26,41,13,10,16,24,23,6,54,9,44,12,32,25,39,58,25,47,39,35,17,26,42,4,6,30,7,25,36
80,600103.SH,6,32,47,51,46,10,55,24,7,6,32,56,27,36,21,41,21,16,39,34,52,56,45,1,24,48,13,30,28,8,22
81,600104.SH,22,40,38,51,57,10,48,24,51,6,54,36,47,27,30,23,44,30,43,44,6,58,45,27,28,53,45,35,50,57,37
82,600105.SH,51,25,11,10,13,10,6,24,23,6,54,1,44,39,32,13,39,17,25,44,6,56,25,27,2,53,52,16,43,12,49
83,600106.SH,20,45,5,35,13,10,23,24,12,6,54,36,44,9,14,56,13,58,25,34,6,18,15,14,5,26,56,6,33,21,10
84,600107.SH,25,18,3,45,31,10,2,24,17,6,30,4,1,2,29,41,53,16,55,34,6,56,26,22,28,45,37,38,50,24,15
85,600108.SH,34,18,34,41,36,10,38,24,45,6,13,36,42,41,5,2,42,28,25,8,6,56,26,22,35,12,56,35,50,57,34
86,600109.SH,47,15,54,41,34,10,20,24,22,6,6,4,31,40,19,34,35,16,58,34,39,53,7,1,16,6,30,15,4,8,16
87,600110.SH,10,46,2,41,13,10,43,24,12,6,54,36,44,41,34,25,39,58,25,34,6,49,25,27,42,0,7,4,2,57,34
88,600111.SH,5,57,16,31,41,10,51,24,7,6,25,54,2,36,57,3,42,16,44,34,6,58,45,40,1,53,25,38,4,57,9
89,600112.SH,10,18,10,41,40,10,46,24,51,6,25,52,57,56,45,30,25,21,25,34,6,21,57,22,20,4,21,30,7,22,36
