,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
0,603377.SS,8.63B,5.04,N/A,17.46%,2.44%,8.64%
1,300467.SZ,3.71B,1.58,-0.15,-263.26%,0.64%,-69.57%
2,601997.SS,24.65B,0.75,0.72,56.97%,1.14%,15.89%
3,603329.SS,1.43B,2.11,N/A,-6.27%,-6.88%,-14.13%
4,600641.SS,14.75B,2.35,0.78,25.69%,4.41%,7.09%
5,000835.SZ,1.06B,N/A,0.64,0.00%,-2.98%,-213.25%
6,002653.SZ,21.24B,9.51,0.31,15.53%,4.19%,24.10%
7,600626.SS,4.30B,1.17,N/A,0.45%,-1.18%,-1.76%
8,600569.SS,6.15B,0.61,0.80,-0.50%,0.92%,-1.70%
9,000797.SZ,5.30B,0.93,1.27,6.88%,1.78%,6.26%
10,300102.SZ,3.49B,1.23,0.74,-30.48%,-4.08%,-12.14%
11,603680.SS,7.22B,1.79,0.45,10.56%,2.71%,8.84%
12,002281.SZ,21.28B,4.83,0.36,5.93%,2.64%,7.12%
13,603323.SS,7.93B,0.70,0.64,41.42%,0.75%,8.07%
14,300369.SZ,15.04B,4.83,0.97,11.56%,2.45%,5.88%
15,603733.SS,8.53B,2.48,0.25,11.42%,5.14%,14.08%
16,603123.SS,5.51B,1.72,0.13,2.29%,0.75%,2.76%
17,002548.SZ,4.41B,2.57,0.12,9.11%,3.52%,15.06%
18,002617.SZ,7.55B,2.46,0.29,1.56%,1.90%,1.54%
19,600764.SS,19.53B,17.96,N/A,15.87%,N/A,N/A
20,600691.SS,4.40B,0.76,0.53,-4.66%,0.38%,-14.56%
21,603199.SS,2.27B,1.91,0.14,12.05%,2.58%,4.43%
22,600379.SS,1.73B,3.21,0.26,4.83%,3.38%,8.08%
23,000581.SZ,17.67B,1.16,0.77,22.92%,1.77%,12.36%
24,300527.SZ,7.99B,3.85,-0.01,5.78%,2.97%,6.78%
25,603969.SS,3.36B,1.89,N/A,6.12%,4.18%,8.89%
26,600793.SS,1.67B,2.41,N/A,-3.92%,0.74%,-11.87%
27,600113.SS,2.53B,1.75,0.94,26.12%,4.99%,8.62%
28,002935.SZ,4.61B,3.88,N/A,11.36%,3.94%,8.61%
29,688101.SS,6.21B,3.77,N/A,37.29%,3.71%,12.00%
30,603681.SS,2.99B,2.26,N/A,6.53%,5.21%,10.52%
31,300466.SZ,2.92B,2.59,0.06,-60.20%,-3.61%,-25.63%
32,600516.SS,24.44B,1.64,1.64,23.93%,4.51%,8.45%
33,300314.SZ,3.20B,3.96,0.62,18.30%,3.65%,8.13%
34,600393.SS,6.54B,1.04,N/A,4.95%,3.61%,2.94%
35,300004.SZ,2.60B,1.30,1.24,-3.71%,0.01%,-1.42%
36,002458.SZ,18.65B,5.20,0.44,57.11%,38.77%,77.30%
37,000036.SZ,5.02B,1.06,1.06,22.74%,7.68%,17.68%
38,300726.SZ,9.75B,5.55,0.07,34.79%,9.33%,16.75%
39,600309.SS,129.51B,3.06,1.36,12.92%,6.45%,20.82%
