,company,intro,length
0,600000.SH,上海浦东发展银行股份有限公司提供银行服务。该公司提供贷款、存款、账户结算、外汇和 其他服务。浦发银行为个人、公司和其他团体提供服务。,66
1,600004.SH,广州白云国际机场股份有限公司提供机场辅助服务。该公司提供地面清洁、飞机保养、飞机 维修和其他服务。广州白云国际机场股份有限公司还提供餐饮、场地出租和广告等服务。,80
2,600006.SH,东风汽车股份有限公司设计、生产和销售柴油发动机、轻型卡车、铸件和相关零部件。该公 司的产品使用“东风”品牌。,54
3,600007.SH,中国国际贸易中心股份有限公司提供房地产服务。该公司经营办公楼租赁业务、购物商城租 赁业务、公寓租赁业务、酒店管理业务和其他相关业务。中国国际贸易中心在中国提供服 务。,83
4,600008.SH,北京首都创业股份有限公司提供供水服务。该公司提供水输送、供水系统管理、供水网络维 护等服务。首创股份还经营环境控制、绿色资源开发和其他业务。,70
5,600009.SH,上海国际机场股份有限公司经营上海虹桥机场和浦东机场。该公司提供地面保障、机场管 理、货物处置、广告、场所出租和其他相关服务。,62
6,600010.SH,内蒙古包钢钢联股份有限公司主要从事黑色金属的冶炼和压延加工。该公司的产品包括钢 板、无缝钢管、重轨、方钢、线材、带钢、废铁和其他相关产品。内蒙古包钢钢联股份有限 公司还提供进出口服务。,92
7,600011.SH,华能国际电力股份有限公司提供发电服务。该公司提供输电、配电、变电及其他相关服务。 华能国际电力在中国提供服务。,55
8,600012.SH,安徽皖通高速公路有限公司持有、经营及开发中国安徽省內的收费高速公路及公路。,37
9,600015.SH,华夏银行股份有限公司经营银行业务。该公司提供存款、贷款、结算、票据贴现、外汇交 易、银行担保、财富管理和其他服务。华夏银行为企业和个人提供服务。,72
10,600016.SH,中国民生银行股份有限公司经营商业银行业务。该公司提供存款、贷款、结算、贴现、金融 债券发行、政府债券承销和交易、信用证、银行担保和其他相关金融服务。中国民生银行股 份有限公司在全球提供服务。,95
11,600017.SH,日照港股份有限公司从事港口管理和运营业务。该公司提供货物仓储、装卸、运输和转运服 务。日照港提供煤、水泥、钢铁材料、矿物和木制品的港口服务。,70
12,600018.SH,上海国际港务（集团）股份有限公司提供港口运营服务。该公司提供货物装卸、港口物流、 港口商务、领航、拖轮、航运理货，以及其他港口相关服务。上港集团为全球客户提供服 务。,83
13,600019.SH,宝山钢铁股份有限公司生产和销售铁钢产品。该公司生产和销售冷轧板卷、热轧板卷、无缝 钢管、高速线材、钢坯和其他产品。宝山钢铁在中国各地销售其产品。,72
14,600020.SH,河南中原高速公路股份有限公司经营高速公路业务。该公司提供收费高速公路的投资、建设 和维护服务。中原高速还从事房地产开发、石油输送和技术服务。,70
15,600021.SH,上海电力股份有限公司经营发电业务。该公司生产电力、火电和其他电力产品。上海电力还 经营工程承包、新能源开发和其他业务。,59
16,600022.SH,山东钢铁有限公司生产和销售钢材，钢坯，生铁，及其他相关产品。,30
17,600023.SH,浙能电力属于电力、热力生产业。公司经营范围主要包括电力开发，经营管理，电力及节能 技术的研发、技术咨询、节能产品销售，电力工程、电力环保工程的建设和监理，电力设备 检修，实业投资，资产管理。,95
18,600025.SH,华能澜沧江水电股份有限公司提供水力发电服务。该公司提供输电、配电、变电及其他相关 服务。华能澜沧江水电股份有限公司还提供清洁能源开发服务。,69
19,600026.SH,中远海运能源运输股份有限公司是一家航运公司。该公司主要经营原油、煤炭和天然气的海 运业务。中远海运能源运输股份有限公司为全球客户提供服务。,69
20,600027.SH,华电国际电力股份有限公司从事电力业务。该公司提供发电厂建设、水力发电、风力发电及 太阳能发电服务。华电国际还从事电力输送和配送业务。,66
21,600028.SH,中国石油化工公司生产并从事石油与石化产品贸易。该公司提供汽油、柴油、航空燃油、煤 油、乙烯、合成纤维、合成橡胶、合成树脂和化肥。中国石化在中国各地销售其产品。,79
