date,close,open,high,low
2019/12/31,8770.82,8794.17,8794.87,8750.46
2019/12/30,8815.98,8787.22,8833.28,8767.39
2019/12/27,8795.1,8726.32,8806.04,8726.32
2019/12/26,8699.15,8693.26,8699.58,8693.22
2019/12/25,8693.01,8688.24,8693.47,8687.1
2019/12/24,8694.72,8693.34,8701.99,8679.64
2019/12/23,8669.21,8672.43,8690.91,8652.81
2019/12/20,8652.08,8658.57,8681.27,8634.36
2019/12/19,8649.62,8670.26,8670.28,8607.65
2019/12/18,8652.22,8655.27,8664.41,8619.85
2019/12/17,8611.97,8507.61,8632.09,8506.39
2019/12/16,8479.94,8488.14,8506.94,8455.75
2019/12/13,8486.97,8365.97,8488.9,8365.97
2019/12/12,8343.98,8294.25,8360.35,8294.25
2019/12/11,8260.21,8214.23,8265.63,8209.71
2019/12/10,8200.13,8197.99,8214.93,8177.18
2019/12/9,8234.84,8232.26,8261.49,8223.32
2019/12/6,8215.44,8157.94,8224.1,8157.94
2019/12/5,8099.79,8050.82,8103.43,8050.82
2019/12/4,8062.82,8110.6,8110.6,8050.95
2019/12/3,8128.38,8126.57,8139.65,8071.94
2019/12/2,8156.54,8129.63,8176.33,8129.63
2019/11/29,8144.2,8263.04,8263.05,8123.19
2019/11/28,8263.42,8270.01,8280.34,8246.57
2019/11/27,8223.08,8224.41,8234.69,8209.8
2019/11/26,8190.17,8200.38,8253.97,8188.37
2019/11/25,8159.7,8096.67,8180.89,8096.67
2019/11/22,8068.88,8045.22,8095.1,8042.49
2019/11/21,8023.96,8110.53,8110.53,8000.76
2019/11/20,8154.56,8189.73,8189.73,8137.81
2019/11/19,8189.85,8101.51,8189.96,8087.69
2019/11/18,8114.97,8037.26,8115.44,8037.26
2019/11/15,8014.74,8028.3,8069.66,8009.09
2019/11/14,8033.7,8088.19,8088.19,8011.43
2019/11/13,8128.13,8199.29,8199.29,8107.28
2019/11/12,8202.6,8154.23,8203.79,8140.13
2019/11/11,8165.79,8306.36,8306.36,8146.32
2019/11/8,8305.43,8348.14,8362.24,8288.03
2019/11/7,8303.49,8268.3,8305.78,8233.21
2019/11/6,8261.31,8275.24,8280.26,8248.26
2019/11/5,8268.11,8218.76,8281.96,8209.81
2019/11/4,8164.52,8060.25,8165.19,8060.25
2019/11/1,8049.92,7997.8,8050.6,7974
2019/10/31,8008.6,7973.09,8028.66,7972.76
2019/10/30,7964.72,7998.42,7999.05,7949.02
2019/10/29,8016.71,8042.08,8068.1,8011.84
2019/10/28,8000.89,7939.71,8013.26,7939.71
2019/10/25,7916.53,7926.18,7932.73,7899.72
2019/10/24,7884.49,7852.45,7885.2,7849.74
2019/10/23,7849.49,7905.77,7905.77,7836.63
2019/10/22,7945.91,7947.2,7969.98,7930.11
2019/10/21,7905.42,7909.38,7920.43,7892.83
2019/10/18,7976.44,8006.64,8040.75,7966.15
2019/10/17,8011.86,7990.47,8021.48,7982.47
2019/10/16,7971.78,7958.47,7987.74,7941.5
2019/10/15,7910.15,7919.73,7931.28,7898.02
2019/10/14,7929.55,7884.16,7957.49,7884.16
2019/10/11,7818,7712.64,7829.9,7712.64
2019/10/10,7690.02,7647.25,7714.59,7634.79
2019/10/9,7619.32,7646.27,7648.12,7610.95
2019/10/8,7713.15,7689.61,7772.98,7683.41
2019/10/4,7702.5,7725.09,7745.19,7659.89
2019/10/3,7680.51,7656.61,7690.63,7621.31
2019/10/2,7658.13,7672.84,7672.84,7619.62
2019/9/30,7671.77,7658.91,7695.28,7615.17
2019/9/27,7753.57,7782.36,7782.54,7728.86
2019/9/26,7792.79,7774.5,7818.25,7771.16
2019/9/25,7726.75,7800.52,7800.69,7721.83
2019/9/24,7862.36,7867.68,7883.66,7848.32
2019/9/23,7914.59,7975.58,7979.82,7903.84
2019/9/20,7973.55,7995.32,7996.98,7963.83
2019/9/19,7971.1,8015.35,8027.03,7950.43
2019/9/18,8014.06,8005.22,8038.09,8005.2
2019/9/17,7990.03,8064.75,8064.75,7965.64
2019/9/16,8089.5,8127.16,8127.16,8046.62
2019/9/13,8120.8,8069.39,8122.86,8064.6
2019/9/12,8054.88,8022.29,8065.44,8017.88
2019/9/11,7998.55,7936.97,8001.42,7930.6
2019/9/10,7960.46,7974.81,8002.29,7945.72
2019/9/9,7956.23,7962.56,7993.03,7948.57
2019/9/6,7972.84,7942.08,7986.05,7942.08
2019/9/5,7885.49,7826.29,7921.57,7826.29
2019/9/4,7805.26,7674.18,7819.22,7673.91
2019/9/3,7706.93,7743.36,7758.92,7701.69
2019/9/2,7743.46,7706.93,7748.1,7698.36
2019/8/30,7694.83,7652.61,7728.39,7652.61
2019/8/29,7601.53,7589.8,7604.34,7528.08
