,company,official_class
0,000001.SZ,60101
1,000002.SZ,60501
2,000004.SZ,70101
3,000005.SZ,20107
4,000006.SZ,60501
5,000007.SZ,60502
6,000008.SZ,20106
7,000009.SZ,20105
8,000010.SZ,20103
9,000011.SZ,60501
10,000012.SZ,10103
11,000014.SZ,60501
12,000016.SZ,30201
13,000017.SZ,30202
14,000019.SZ,40101
15,000020.SZ,70202
16,000021.SZ,70201
17,000023.SZ,10103
18,000025.SZ,30102
19,000026.SZ,30504
20,000027.SZ,90101
21,000028.SZ,50202
22,000029.SZ,60501
23,000030.SZ,30101
24,000031.SZ,60501
25,000032.SZ,70202
26,000034.SZ,70202
27,000035.SZ,20107
28,000036.SZ,60502
29,000037.SZ,90101
30,000038.SZ,30401
31,000039.SZ,20106
32,000040.SZ,90101
33,000042.SZ,60501
34,000045.SZ,70202
35,000046.SZ,60501
36,000048.SZ,40204
37,000049.SZ,20104
38,000050.SZ,70202
39,000055.SZ,20102
40,000056.SZ,60502
41,000058.SZ,20201
42,000059.SZ,102
43,000060.SZ,10105
44,000061.SZ,20201
45,000062.SZ,20201
46,000063.SZ,80201
47,000065.SZ,20103
48,000066.SZ,70201
49,000068.SZ,20107
50,000069.SZ,60501
51,000070.SZ,80201
52,000078.SZ,50202
53,000088.SZ,20304
54,000089.SZ,20305
55,000090.SZ,20103
56,000096.SZ,102
57,000099.SZ,20301
58,000100.SZ,30201
59,000150.SZ,50102
60,000151.SZ,20201
61,000153.SZ,50202
62,000155.SZ,10102
63,000156.SZ,30401
64,000157.SZ,20106
65,000158.SZ,30203
66,000159.SZ,102
67,000166.SZ,60301
68,000301.SZ,10102
69,000333.SZ,30201
70,000338.SZ,20106
71,000400.SZ,20104
72,000401.SZ,10103
73,000402.SZ,60501
74,000403.SZ,50201
75,000404.SZ,20106
76,000407.SZ,90102
77,000408.SZ,10102
78,000409.SZ,10106
79,000410.SZ,20106
80,000411.SZ,50202
81,000413.SZ,70202
82,000415.SZ,20201
83,000416.SZ,60202
84,000417.SZ,30503
85,000419.SZ,30503
86,000420.SZ,10102
87,000421.SZ,90102
88,000422.SZ,10102
89,000423.SZ,50202
90,000425.SZ,20106
91,000426.SZ,10105
92,000428.SZ,30301
93,000429.SZ,20305
94,000430.SZ,30301
95,000488.SZ,10108
96,000498.SZ,20103
97,000501.SZ,30503
98,000502.SZ,60501
99,000503.SZ,70101
100,000504.SZ,20107
101,000505.SZ,40204
102,000506.SZ,10105
103,000507.SZ,20305
104,000509.SZ,20102
105,000510.SZ,10101
106,000513.SZ,50202
107,000514.SZ,60501
108,000516.SZ,50102
109,000517.SZ,60501
110,000518.SZ,50201
111,000519.SZ,20101
112,000520.SZ,20303
113,000521.SZ,30201
114,000523.SZ,40301
115,000524.SZ,30301
116,000525.SZ,10102
117,000526.SZ,30302
118,000528.SZ,20106
119,000529.SZ,40202
120,000530.SZ,20106
121,000531.SZ,90101
122,000532.SZ,70202
123,000533.SZ,20104
124,000534.SZ,50202
125,000536.SZ,70202
126,000537.SZ,60501
127,000538.SZ,50202
128,000539.SZ,90101
129,000540.SZ,60501
130,000541.SZ,30201
131,000543.SZ,90101
132,000544.SZ,20107
133,000545.SZ,10102
134,000546.SZ,10103
135,000547.SZ,20101
136,000548.SZ,20305
137,000550.SZ,30102
138,000551.SZ,20105
139,000552.SZ,103
140,000553.SZ,10102
141,000554.SZ,102
142,000555.SZ,70102
143,000557.SZ,20304
144,000558.SZ,60501
145,000559.SZ,30101
146,000560.SZ,60502
147,000561.SZ,80201
148,000563.SZ,60201
149,000564.SZ,30503
150,000565.SZ,10102
151,000566.SZ,50202
152,000567.SZ,60301
153,000568.SZ,40201
154,000570.SZ,20106
155,000571.SZ,103
156,000572.SZ,30102
157,000573.SZ,60501
158,000576.SZ,10108
159,000581.SZ,30101
160,000582.SZ,20305
161,000584.SZ,20106
162,000585.SZ,20104
163,000586.SZ,80201
164,000587.SZ,30204
165,000589.SZ,30101
166,000590.SZ,50202
167,000591.SZ,90101
168,000592.SZ,10108
169,000593.SZ,90102
170,000595.SZ,20106
171,000596.SZ,40201
172,000597.SZ,50202
173,000598.SZ,90104
174,000599.SZ,30101
175,000600.SZ,90101
176,000601.SZ,90101
177,000603.SZ,10105
178,000605.SZ,90104
179,000606.SZ,70101
180,000607.SZ,30401
181,000608.SZ,60502
182,000609.SZ,60501
183,000610.SZ,30301
184,000611.SZ,30203
185,000612.SZ,10105
186,000613.SZ,30301
187,000615.SZ,60501
188,000616.SZ,60501
189,000617.SZ,60201
190,000619.SZ,20102
191,000620.SZ,60501
192,000622.SZ,30101
193,000623.SZ,50202
194,000625.SZ,30102
195,000626.SZ,20201
196,000627.SZ,60401
197,000628.SZ,20103
198,000629.SZ,10105
199,000630.SZ,10105
200,000631.SZ,60501
201,000632.SZ,20201
202,000633.SZ,10105
203,000635.SZ,10101
204,000636.SZ,70202
205,000637.SZ,102
206,000638.SZ,50102
207,000639.SZ,40202
208,000650.SZ,50202
209,000651.SZ,30201
210,000652.SZ,20201
211,000655.SZ,10106
212,000656.SZ,60501
213,000657.SZ,10105
214,000659.SZ,10104
215,000661.SZ,50201
216,000662.SZ,70102
217,000663.SZ,30201
218,000665.SZ,30401
219,000666.SZ,60301
220,000667.SZ,60501
221,000668.SZ,60501
222,000669.SZ,90102
223,000670.SZ,70301
224,000671.SZ,60501
225,000672.SZ,10103
226,000673.SZ,30401
227,000676.SZ,70101
228,000677.SZ,10102
229,000678.SZ,30101
230,000679.SZ,30503
231,000680.SZ,20106
232,000681.SZ,30401
233,000682.SZ,20104
234,000683.SZ,10101
235,000685.SZ,90104
236,000686.SZ,60301
237,000687.SZ,20101
238,000688.SZ,10105
239,000690.SZ,90101
240,000691.SZ,60501
241,000692.SZ,90103
242,000695.SZ,20201
243,000697.SZ,20101
244,000698.SZ,10101
245,000700.SZ,30101
246,000701.SZ,20201
247,000702.SZ,40204
248,000703.SZ,10102
249,000705.SZ,50202
250,000707.SZ,10101
251,000708.SZ,10106
252,000709.SZ,10106
253,000710.SZ,50201
254,000711.SZ,20103
255,000712.SZ,60301
256,000713.SZ,40204
257,000715.SZ,30503
258,000716.SZ,40202
259,000717.SZ,10106
260,000718.SZ,60501
261,000719.SZ,30401
262,000720.SZ,90101
263,000721.SZ,30301
264,000722.SZ,90101
265,000723.SZ,103
266,000725.SZ,70202
267,000726.SZ,30203
268,000727.SZ,70202
269,000728.SZ,60301
270,000729.SZ,40201
271,000731.SZ,10102
272,000732.SZ,60501
273,000733.SZ,70202
274,000735.SZ,40204
275,000736.SZ,60501
276,000737.SZ,40301
277,000738.SZ,20101
278,000739.SZ,50202
279,000750.SZ,60301
280,000751.SZ,10105
281,000752.SZ,40201
282,000753.SZ,30102
283,000755.SZ,20305
284,000756.SZ,50202
285,000757.SZ,30102
286,000758.SZ,10105
287,000759.SZ,40101
288,000760.SZ,30101
289,000761.SZ,10106
290,000762.SZ,10105
291,000766.SZ,50202
292,000767.SZ,90101
293,000768.SZ,20101
294,000776.SZ,60301
295,000777.SZ,20106
296,000778.SZ,10106
297,000779.SZ,20201
298,000780.SZ,103
299,000782.SZ,10102
300,000783.SZ,60301
301,000785.SZ,30503
302,000786.SZ,10103
303,000788.SZ,50202
304,000789.SZ,10103
305,000790.SZ,50202
306,000791.SZ,90101
307,000792.SZ,10102
308,000793.SZ,30401
309,000795.SZ,10105
310,000796.SZ,30301
311,000797.SZ,60501
312,000798.SZ,40204
313,000799.SZ,40201
314,000800.SZ,30102
315,000801.SZ,30201
316,000802.SZ,30401
317,000803.SZ,20104
318,000806.SZ,20104
319,000807.SZ,10105
320,000809.SZ,20103
321,000810.SZ,30201
322,000811.SZ,20106
323,000812.SZ,20201
324,000813.SZ,50202
325,000815.SZ,10108
326,000816.SZ,20106
327,000818.SZ,10101
328,000819.SZ,10102
329,000820.SZ,20107
330,000821.SZ,20106
331,000822.SZ,10101
332,000823.SZ,70202
333,000825.SZ,10106
334,000826.SZ,20107
335,000828.SZ,20305
336,000829.SZ,30504
337,000830.SZ,10102
338,000831.SZ,10105
339,000833.SZ,20105
340,000835.SZ,70101
341,000836.SZ,80201
342,000837.SZ,20106
343,000838.SZ,60501
344,000839.SZ,30401
345,000848.SZ,40201
346,000850.SZ,30203
347,000851.SZ,70202
348,000852.SZ,101
349,000856.SZ,20106
350,000858.SZ,40201
351,000859.SZ,10102
352,000860.SZ,40201
353,000861.SZ,60502
354,000862.SZ,90101
355,000863.SZ,60501
356,000868.SZ,30102
357,000869.SZ,40201
358,000875.SZ,90101
359,000876.SZ,40204
360,000877.SZ,10103
361,000878.SZ,10105
362,000880.SZ,20106
363,000881.SZ,10101
364,000882.SZ,60502
365,000883.SZ,90101
366,000885.SZ,20305
367,000886.SZ,60501
368,000887.SZ,30101
369,000888.SZ,30301
370,000889.SZ,80102
371,000890.SZ,10106
372,000892.SZ,30401
373,000893.SZ,40202
374,000895.SZ,40202
375,000897.SZ,60501
376,000898.SZ,10106
377,000899.SZ,90101
378,000900.SZ,20305
379,000901.SZ,30101
380,000902.SZ,10102
381,000903.SZ,20106
382,000905.SZ,20305
383,000906.SZ,20201
384,000908.SZ,50202
385,000909.SZ,60501
386,000910.SZ,10108
387,000911.SZ,40202
388,000912.SZ,10102
389,000913.SZ,30102
390,000915.SZ,50202
391,000917.SZ,30401
392,000918.SZ,60501
393,000919.SZ,50202
394,000920.SZ,10102
395,000921.SZ,30201
396,000922.SZ,20104
397,000923.SZ,10106
398,000925.SZ,20107
399,000926.SZ,60501
400,000927.SZ,30102
401,000928.SZ,20103
402,000929.SZ,40201
403,000930.SZ,40204
404,000931.SZ,50202
405,000932.SZ,10106
