,company,paper_class
0,000019.SZ,0
1,603003.SH,0
2,002571.SZ,0
3,600737.SH,0
4,300143.SZ,0
5,000716.SZ,0
6,600359.SH,0
7,600506.SH,0
8,300087.SZ,0
9,600540.SH,0
10,000972.SZ,0
11,601118.SH,0
12,600251.SH,0
13,000505.SZ,0
14,000816.SZ,0
15,300511.SZ,0
16,603896.SH,0
17,600371.SH,0
18,600108.SH,0
19,300175.SZ,0
20,002661.SZ,0
21,603336.SH,0
22,600313.SH,0
23,300189.SZ,0
24,002772.SZ,0
25,603029.SH,0
26,000998.SZ,0
27,002481.SZ,0
28,601952.SH,0
29,002041.SZ,0
30,300022.SZ,0
31,000159.SZ,0
32,603021.SH,0
33,002505.SZ,0
34,300761.SZ,0
35,000061.SZ,0
36,002556.SZ,0
37,600127.SH,0
38,002852.SZ,0
39,000713.SZ,0
40,600354.SH,0
41,002083.SZ,1
42,600249.SH,1
43,603214.SH,1
44,002640.SZ,1
45,603608.SH,1
46,603808.SH,1
47,603001.SH,1
48,002687.SZ,1
49,002612.SZ,1
50,002345.SZ,1
51,600107.SH,1
52,002494.SZ,1
53,002397.SZ,1
54,603008.SH,1
55,002394.SZ,1
56,603313.SH,1
57,603116.SH,1
58,603610.SH,1
59,600295.SH,1
60,603518.SH,1
61,603839.SH,1
62,601718.SH,1
63,002291.SZ,1
64,600381.SH,1
65,603605.SH,1
66,603587.SH,1
67,600315.SH,1
68,603059.SH,1
69,002489.SZ,1
70,603196.SH,1
71,002154.SZ,1
72,603908.SH,1
73,002327.SZ,1
74,002761.SZ,1
75,600510.SH,1
76,601155.SH,1
77,603365.SH,1
78,600272.SH,1
79,603555.SH,1
80,300005.SZ,1
81,002293.SZ,1
82,601566.SH,1
83,002485.SZ,1
84,002875.SZ,1
85,603630.SH,1
86,000726.SZ,1
87,603958.SH,1
88,000509.SZ,1
89,603877.SH,1
90,603557.SH,1
91,002919.SZ,1
92,300740.SZ,1
93,002776.SZ,1
94,300591.SZ,1
95,002094.SZ,1
96,300577.SZ,1
97,600400.SH,1
98,600439.SH,1
99,002762.SZ,1
100,002569.SZ,1
101,002029.SZ,1
102,002269.SZ,1
103,002832.SZ,1
104,002503.SZ,1
105,002127.SZ,1
106,002563.SZ,1
107,600146.SH,1
108,603157.SH,1
109,600177.SH,1
110,600398.SH,1
111,002780.SZ,1
112,601163.SH,2
113,603028.SH,2
114,603969.SH,2
115,002337.SZ,2
116,000589.SZ,2
117,002444.SZ,2
118,600623.SH,2
119,603278.SH,2
120,002073.SZ,2
121,300174.SZ,2
122,603650.SH,2
123,601966.SH,2
124,000890.SZ,2
125,002031.SZ,2
126,600165.SH,2
127,600469.SH,2
128,000599.SZ,2
129,600182.SH,2
130,601500.SH,2
131,000926.SZ,2
132,002132.SZ,2
133,600992.SH,2
134,002246.SZ,2
135,300643.SZ,2
136,601058.SH,2
137,002595.SZ,2
138,002342.SZ,2
139,603617.SH,3
140,002686.SZ,3
141,300411.SZ,3
142,002823.SZ,3
143,300032.SZ,3
144,002472.SZ,3
145,002164.SZ,3
146,603489.SH,3
147,002131.SZ,3
148,300308.SZ,3
149,002576.SZ,3
150,300626.SZ,3
151,002896.SZ,3
152,300780.SZ,3
153,603915.SH,3
154,603701.SH,3
155,603988.SH,3
156,603726.SH,3
157,601177.SH,3
158,002793.SZ,3
159,603819.SH,3
160,300660.SZ,3
161,300258.SZ,3
162,603109.SH,3
163,300304.SZ,3
164,600580.SH,3
165,002884.SZ,3
166,300091.SZ,3
167,000922.SZ,3
168,603767.SH,3
169,600416.SH,3
170,002249.SZ,3
171,002931.SZ,3
172,002779.SZ,3
173,002664.SZ,3
174,002892.SZ,3
175,002176.SZ,3
176,002801.SZ,3
177,601369.SH,3
178,603728.SH,3
179,002598.SZ,3
180,300475.SZ,3
181,002532.SZ,3
182,603757.SH,3
183,603599.SH,4
184,002709.SZ,4
185,300530.SZ,4
186,000523.SZ,4
187,300702.SZ,4
188,002326.SZ,4
189,002568.SZ,4
190,603790.SH,4
191,600301.SH,4
192,603639.SH,4
193,600352.SH,4
194,603585.SH,4
195,600486.SH,4
196,002061.SZ,4
197,002215.SZ,4
198,603360.SH,4
199,603823.SH,4
200,002453.SZ,4
201,002741.SZ,4
202,000627.SZ,4
203,600731.SH,4
204,688357.SH,4
205,600389.SH,4
206,603968.SH,4
207,000553.SZ,4
208,002496.SZ,4
209,002407.SZ,4
210,002411.SZ,4
211,300758.SZ,4
212,002258.SZ,4
213,603086.SH,4
214,002513.SZ,4
215,603970.SH,4
216,002237.SZ,4
217,603330.SH,4
218,600500.SH,4
219,002810.SZ,4
220,300107.SZ,4
221,002054.SZ,4
222,300721.SZ,4
223,002099.SZ,4
224,603867.SH,4
225,603948.SH,4
226,600796.SH,4
227,002584.SZ,4
228,600589.SH,4
229,300798.SZ,4
230,600160.SH,4
231,603026.SH,4
232,002942.SZ,4
233,603980.SH,4
234,300067.SZ,4
235,603810.SH,4
236,603020.SH,4
237,000525.SZ,4
238,002004.SZ,4
239,000985.SZ,4
240,002440.SZ,4
241,600608.SH,4
242,300741.SZ,4
243,002915.SZ,4
244,603822.SH,4
245,002749.SZ,4
246,600222.SH,4
247,603188.SH,4
248,300796.SZ,4
249,000792.SZ,4
250,002734.SZ,4
251,600532.SH,4
252,300261.SZ,4
253,002406.SZ,4
254,600636.SH,4
255,002250.SZ,4
256,603612.SH,4
257,000408.SZ,4
258,603217.SH,4
259,300575.SZ,4
260,000737.SZ,4
261,002391.SZ,4
262,603379.SH,4
263,600110.SH,5
264,600482.SH,5
265,601877.SH,5
266,688388.SH,5
267,300068.SZ,5
268,002074.SZ,5
269,002506.SZ,5
270,002218.SZ,5
271,300750.SZ,5
272,600152.SH,5
273,002245.SZ,5
274,300014.SZ,5
275,002460.SZ,5
276,600847.SH,5
277,300029.SZ,5
278,000049.SZ,5
279,002733.SZ,5
280,603366.SH,5
281,002466.SZ,5
282,002684.SZ,5
283,300724.SZ,5
284,002323.SZ,5
285,600537.SH,5
286,002672.SZ,5
287,000573.SZ,5
288,600151.SH,5
289,600438.SH,5
290,300393.SZ,5
291,002459.SZ,5
292,601012.SH,5
293,002192.SZ,5
294,300118.SZ,5
295,000591.SZ,5
296,002943.SZ,5
297,002580.SZ,5
298,300340.SZ,5
299,300111.SZ,5
300,600390.SH,5
301,300648.SZ,5
302,603659.SH,5
303,002190.SZ,5
304,600884.SH,5
305,688006.SH,5
306,300207.SZ,5
307,002518.SZ,5
308,000762.SZ,5
309,002610.SZ,5
310,002129.SZ,5
311,300438.SZ,5
312,688233.SH,5
313,002759.SZ,5
314,300073.SZ,5
315,300763.SZ,5
316,600666.SH,5
317,600877.SH,5
318,603806.SH,5
319,002499.SZ,5
320,002256.SZ,5
321,600139.SH,5
322,688005.SH,5
323,000040.SZ,5
324,601908.SH,5
325,002240.SZ,5
326,002091.SZ,5
327,002125.SZ,5
328,300316.SZ,5
329,603063.SH,5
330,300751.SZ,5
331,300274.SZ,5
332,603628.SH,5
333,600175.SH,5
334,601311.SH,5
335,603105.SH,5
336,600999.SH,6
337,000666.SZ,6
338,600909.SH,6
339,000996.SZ,6
340,600958.SH,6
341,002673.SZ,6
342,601377.SH,6
343,000750.SZ,6
344,600369.SH,6
345,600919.SH,6
346,601555.SH,6
347,601939.SH,6
348,002142.SZ,6
349,600695.SH,6
350,600770.SH,6
351,002939.SZ,6
352,603323.SH,6
353,601169.SH,6
354,002958.SZ,6
355,600015.SH,6
356,601988.SH,6
357,600036.SH,6
358,300803.SZ,6
359,300023.SZ,6
360,601577.SH,6
361,601336.SH,6
362,601128.SH,6
363,600926.SH,6
364,601997.SH,6
365,000987.SZ,6
366,000728.SZ,6
367,601236.SH,6
368,000563.SZ,6
369,002936.SZ,6
370,601398.SH,6
371,000686.SZ,6
372,601077.SH,6
373,600908.SH,6
374,600830.SH,6
375,601162.SH,6
376,000828.SZ,6
377,000617.SZ,6
378,601688.SH,6
379,600291.SH,6
380,601375.SH,6
381,600318.SH,6
382,601198.SH,6
383,601009.SH,6
384,002670.SZ,6
385,600061.SH,6
386,601211.SH,6
387,601628.SH,6
388,000166.SZ,6
389,002961.SZ,6
390,600570.SH,6
391,601998.SH,6
392,600421.SH,6
393,601916.SH,6
394,002807.SZ,6
395,601881.SH,6
396,600690.SH,6
397,601878.SH,6
398,601328.SH,6
399,000783.SZ,6
400,002945.SZ,6
401,600696.SH,6
402,002839.SZ,6
403,600732.SH,6
404,601838.SH,6
405,601229.SH,6
406,600837.SH,6
407,601318.SH,6
408,000776.SZ,6
