,company,paper_class
0,002024.SZ,0
1,300781.SZ,0
2,002445.SZ,0
3,002654.SZ,0
4,002683.SZ,0
5,600163.SH,0
6,600576.SH,0
7,300770.SZ,0
8,300785.SZ,0
9,002292.SZ,0
10,300560.SZ,0
11,300211.SZ,0
12,300079.SZ,0
13,002555.SZ,0
14,603466.SH,0
15,300061.SZ,0
16,002113.SZ,0
17,300366.SZ,0
18,300383.SZ,0
19,300467.SZ,0
20,002869.SZ,0
21,603258.SH,0
22,600652.SH,0
23,300592.SZ,0
24,300736.SZ,0
25,600234.SH,0
26,300242.SZ,0
27,002862.SZ,0
28,300343.SZ,0
29,601929.SH,0
30,600936.SH,0
31,300640.SZ,0
32,600831.SH,0
33,002640.SZ,0
34,300518.SZ,0
35,002858.SZ,0
36,300052.SZ,0
37,603721.SH,0
38,601360.SH,0
39,002420.SZ,0
40,002238.SZ,0
41,002247.SZ,0
42,300076.SZ,0
43,000058.SZ,0
44,002308.SZ,0
45,000810.SZ,0
46,603398.SH,0
47,002425.SZ,0
48,002131.SZ,0
49,002348.SZ,0
50,300311.SZ,0
51,002093.SZ,0
52,600037.SH,0
53,600959.SH,0
54,600069.SH,0
55,002354.SZ,0
56,300418.SZ,0
57,600996.SH,0
58,300264.SZ,0
59,200058.SZ,0
60,300555.SZ,0
61,603703.SH,0
62,600804.SH,0
63,600633.SH,0
64,002503.SZ,0
65,002699.SZ,0
66,603979.SH,0
67,300310.SZ,0
68,002464.SZ,0
69,300315.SZ,0
70,300043.SZ,0
71,603613.SH,0
72,300612.SZ,0
73,300327.SZ,0
74,002712.SZ,0
75,300414.SZ,0
76,300392.SZ,0
77,000815.SZ,0
78,002174.SZ,0
79,002373.SZ,0
80,300299.SZ,0
81,002558.SZ,0
82,300367.SZ,0
83,002315.SZ,0
84,002912.SZ,0
85,002127.SZ,0
86,002605.SZ,0
87,300113.SZ,0
88,601828.SH,0
89,002878.SZ,0
90,300413.SZ,0
91,600637.SH,0
92,300533.SZ,0
93,002619.SZ,0
94,603825.SH,0
95,002468.SZ,0
96,300756.SZ,0
97,300226.SZ,0
98,000156.SZ,0
99,603598.SH,0
100,002573.SZ,1
101,002034.SZ,1
102,002487.SZ,1
103,603098.SH,1
104,603311.SH,1
105,300425.SZ,1
106,000035.SZ,1
107,002310.SZ,1
108,603177.SH,1
109,300090.SZ,1
110,300530.SZ,1
111,601200.SH,1
112,603903.SH,1
113,002596.SZ,1
114,300266.SZ,1
115,601368.SH,1
116,002011.SZ,1
117,002672.SZ,1
118,000809.SZ,1
119,300577.SZ,1
120,300801.SZ,1
121,600323.SH,1
122,603686.SH,1
123,600526.SH,1
124,300140.SZ,1
125,300664.SZ,1
126,000826.SZ,1
127,300187.SZ,1
128,603588.SH,1
129,600167.SH,1
130,000899.SZ,1
131,600168.SH,1
132,001896.SZ,1
133,603187.SH,1
134,600475.SH,1
135,300066.SZ,1
136,000885.SZ,1
137,603797.SH,1
138,002534.SZ,1
139,002094.SZ,1
140,300263.SZ,1
141,603589.SH,1
142,300388.SZ,1
143,002088.SZ,1
144,603817.SH,1
145,300262.SZ,1
146,603568.SH,1
147,000598.SZ,1
148,002597.SZ,1
149,300156.SZ,1
150,603603.SH,1
151,300070.SZ,1
152,600008.SH,1
153,300815.SZ,1
154,601330.SH,1
155,002272.SZ,1
156,300056.SZ,1
157,000925.SZ,1
158,600461.SH,1
159,002837.SZ,1
160,300692.SZ,1
161,603822.SH,1
162,300786.SZ,1
163,002973.SZ,1
164,300499.SZ,1
165,002630.SZ,1
166,300152.SZ,1
167,601158.SH,1
168,603956.SH,1
169,000820.SZ,1
170,300137.SZ,1
171,300779.SZ,1
172,601199.SH,1
173,300385.SZ,1
174,002499.SZ,1
175,002724.SZ,1
176,600187.SH,1
177,603279.SH,1
178,300276.SZ,2
179,002678.SZ,2
180,300357.SZ,2
181,002361.SZ,2
182,002341.SZ,2
183,200550.SZ,2
184,603217.SH,2
185,000629.SZ,2
186,300193.SZ,2
187,002698.SZ,2
188,002978.SZ,2
189,300238.SZ,2
190,300329.SZ,2
191,002582.SZ,2
192,300175.SZ,2
193,002532.SZ,2
194,002136.SZ,2
195,002246.SZ,2
196,601388.SH,2
197,300271.SZ,2
198,002633.SZ,2
199,002327.SZ,2
200,603002.SH,2
201,002543.SZ,2
202,300173.SZ,2
203,300368.SZ,2
204,002646.SZ,2
205,600456.SH,2
206,300386.SZ,2
207,002406.SZ,2
208,002353.SZ,2
209,000550.SZ,2
210,300230.SZ,2
211,002575.SZ,2
212,002674.SZ,2
213,002140.SZ,3
214,300564.SZ,3
215,600502.SH,3
216,601186.SH,3
217,000755.SZ,3
218,600368.SH,3
219,601155.SH,3
220,002043.SZ,3
221,603717.SH,3
222,300495.SZ,3
223,603359.SH,3
224,000690.SZ,3
225,601068.SH,3
226,002482.SZ,3
227,000976.SZ,3
228,600106.SH,3
229,600012.SH,3
230,002663.SZ,3
231,600350.SH,3
232,002431.SZ,3
233,600807.SH,3
234,000786.SZ,3
235,603815.SH,3
236,300826.SZ,3
237,002775.SZ,3
238,002963.SZ,3
239,002785.SZ,3
240,600583.SH,3
241,300355.SZ,3
242,300125.SZ,3
243,600548.SH,3
244,600326.SH,3
245,300237.SZ,3
246,000797.SZ,3
247,600939.SH,3
248,603828.SH,3
249,600159.SH,3
250,002061.SZ,3
251,603363.SH,3
252,000090.SZ,3
253,002542.SZ,3
254,603955.SH,3
255,002178.SZ,3
256,002375.SZ,3
257,300732.SZ,3
258,000993.SZ,3
259,600512.SH,3
260,002398.SZ,3
261,002081.SZ,3
262,002830.SZ,3
263,002307.SZ,3
264,002941.SZ,3
265,000996.SZ,3
266,300020.SZ,3
267,002299.SZ,3
268,600170.SH,3
269,600269.SH,3
270,002170.SZ,3
271,000010.SZ,3
272,002062.SZ,3
273,002504.SZ,3
274,601518.SH,3
275,900957.SH,3
276,002116.SZ,3
277,000065.SZ,3
278,002395.SZ,3
279,601611.SH,3
280,603388.SH,3
281,603126.SH,3
282,300492.SZ,3
283,600339.SH,3
284,002325.SZ,3
285,601789.SH,3
286,002781.SZ,3
287,300649.SZ,3
288,000498.SZ,3
289,900902.SH,3
290,002586.SZ,3
291,002856.SZ,3
292,002059.SZ,3
293,300197.SZ,3
294,000779.SZ,3
295,300215.SZ,3
296,600491.SH,3
297,300407.SZ,3
298,600868.SH,3
299,002291.SZ,3
300,600063.SH,3
301,300284.SZ,3
302,600377.SH,3
303,600718.SH,3
304,603316.SH,3
305,002377.SZ,3
306,002051.SZ,3
