,company,paper_class
0,002644.SZ,0
1,600573.SH,1
2,600600.SH,1
3,603711.SH,1
4,600132.SH,1
5,000729.SZ,1
6,000929.SZ,1
7,002461.SZ,1
8,600759.SH,2
9,603003.SH,2
10,601857.SH,2
11,600968.SH,2
12,603080.SH,2
13,603706.SH,2
14,002554.SZ,2
15,300007.SZ,2
16,603053.SH,2
17,300471.SZ,2
18,002911.SZ,2
19,002166.SZ,2
20,601139.SH,2
21,000505.SZ,2
22,000639.SZ,2
23,002490.SZ,2
24,600803.SH,2
25,600688.SH,2
26,002487.SZ,2
27,601117.SH,2
28,002700.SZ,2
29,603353.SH,2
30,603727.SH,2
31,600617.SH,2
32,002478.SZ,2
33,900913.SH,2
34,000839.SZ,2
35,603906.SH,2
36,000852.SZ,2
37,002778.SZ,2
38,002126.SZ,2
39,000533.SZ,2
40,002267.SZ,2
41,603689.SH,2
42,002971.SZ,2
43,300684.SZ,2
44,600248.SH,2
45,600903.SH,2
46,600028.SH,2
47,600917.SH,2
48,002698.SZ,2
49,600856.SH,2
50,600871.SH,2
51,300157.SZ,2
52,000151.SZ,2
53,300540.SZ,2
54,300191.SZ,2
55,601808.SH,2
56,002259.SZ,2
57,000968.SZ,2
58,002221.SZ,2
59,600583.SH,2
60,002524.SZ,2
61,600333.SH,2
62,200505.SZ,2
63,000669.SZ,2
64,300164.SZ,2
65,603393.SH,2
66,002278.SZ,2
67,300560.SZ,2
68,000099.SZ,2
69,600681.SH,2
70,603619.SH,2
71,002430.SZ,2
72,000096.SZ,2
73,601798.SH,2
74,002852.SZ,2
75,000637.SZ,2
76,000593.SZ,2
77,600202.SH,2
78,300138.SZ,2
79,002772.SZ,3
80,300234.SZ,3
81,600212.SH,3
82,603630.SH,3
83,603385.SH,3
84,002918.SZ,3
85,300409.SZ,3
86,603268.SH,3
87,600145.SH,3
88,300408.SZ,3
89,002836.SZ,4
90,600586.SH,5
91,300395.SZ,5
92,600529.SH,5
93,000012.SZ,5
94,900957.SH,5
95,000619.SZ,5
96,002613.SZ,5
97,000055.SZ,5
98,300117.SZ,5
99,600819.SH,5
100,002338.SZ,5
101,600207.SH,5
102,603976.SH,5
