,company,DEC_cluster
0,603363.SH,6
1,603128.SH,16
2,688039.SH,10
3,603127.SH,16
4,601068.SH,7
5,601969.SH,16
6,603551.SH,19
7,603637.SH,10
8,603298.SH,14
9,603180.SH,10
10,688015.SH,7
11,603898.SH,4
12,601689.SH,1
13,603158.SH,17
14,688021.SH,16
15,603218.SH,7
16,603603.SH,8
17,603007.SH,10
18,600996.SH,8
19,603722.SH,15
20,603353.SH,17
21,603001.SH,14
22,603955.SH,16
23,688022.SH,16
24,600936.SH,14
25,603716.SH,1
26,603659.SH,17
27,603017.SH,6
28,603045.SH,19
29,601258.SH,10
30,601368.SH,6
31,688139.SH,14
32,601766.SH,19
33,603199.SH,16
34,688037.SH,7
35,603790.SH,14
36,603236.SH,15
37,601633.SH,1
38,603995.SH,1
39,601989.SH,16
40,601200.SH,8
41,601801.SH,14
42,603078.SH,16
43,601579.SH,1
44,688208.SH,6
45,601216.SH,4
46,603533.SH,19
47,600939.SH,15
48,601299.SH,7
49,601618.SH,14
50,600919.SH,15
51,601339.SH,16
52,603035.SH,7
53,688159.SH,15
54,603680.SH,18
55,603301.SH,4
56,601231.SH,7
57,688033.SH,14
58,688258.SH,15
59,603330.SH,10
60,603578.SH,16
61,603386.SH,15
62,603500.SH,16
63,603896.SH,7
64,603399.SH,10
65,603661.SH,19
66,601669.SH,4
67,601860.SH,14
68,603566.SH,10
69,601330.SH,10
70,601069.SH,10
71,603617.SH,4
72,603116.SH,16
73,603730.SH,7
74,603583.SH,16
75,603878.SH,19
76,603985.SH,7
77,688016.SH,14
78,601636.SH,1
79,603991.SH,14
80,601882.SH,14
81,603029.SH,1
82,603055.SH,6
83,601127.SH,16
84,603638.SH,14
85,603010.SH,16
86,603949.SH,6
87,603738.SH,17
88,603601.SH,10
89,603099.SH,16
90,603090.SH,19
91,603920.SH,16
92,688036.SH,10
93,603881.SH,7
94,603041.SH,1
95,603613.SH,14
96,603318.SH,14
97,603901.SH,4
98,601366.SH,16
99,603665.SH,10
100,603676.SH,16
101,603662.SH,8
102,603773.SH,7
103,601698.SH,10
104,603701.SH,7
105,601615.SH,17
106,603157.SH,10
107,600901.SH,7
108,688202.SH,15
109,601512.SH,8
110,603167.SH,14
111,603115.SH,19
112,603359.SH,8
113,600917.SH,1
114,603989.SH,14
115,601179.SH,8
116,688166.SH,8
117,601985.SH,10
118,601116.SH,10
119,688186.SH,1
120,603488.SH,10
121,603507.SH,4
122,601163.SH,1
123,601966.SH,7
124,601608.SH,8
125,603042.SH,16
126,603489.SH,15
127,603387.SH,6
128,603912.SH,6
129,688098.SH,10
130,603886.SH,17
131,603378.SH,10
132,603138.SH,10
133,603351.SH,16
134,601718.SH,18
135,601199.SH,10
136,600968.SH,1
137,603786.SH,14
138,603569.SH,19
139,603022.SH,8
140,603311.SH,18
141,601616.SH,1
142,603355.SH,1
143,601599.SH,16
144,603998.SH,15
145,688023.SH,10
146,603368.SH,10
147,601106.SH,14
148,603577.SH,16
149,603003.SH,14
150,600475.SH,7
151,600349.SH,8
152,600348.SH,14
153,600481.SH,10
154,600557.SH,14
155,600553.SH,1
156,600487.SH,8
157,600446.SH,10
158,600039.SH,10
159,600401.SH,17
160,603458.SH,14
161,603323.SH,8
162,600592.SH,10
163,600960.SH,6
164,600012.SH,4
165,600432.SH,14
166,600485.SH,10
167,600050.SH,10
168,603178.SH,15
169,603679.SH,1
170,603121.SH,15
171,688198.SH,16
172,601375.SH,16
173,600552.SH,14
174,600992.SH,1
175,600460.SH,16
176,600406.SH,10
177,600327.SH,7
178,600490.SH,15
179,600493.SH,16
180,600511.SH,1
181,688068.SH,10
182,601916.SH,16
183,688100.SH,17
184,601108.SH,18
185,600357.SH,16
186,600035.SH,16
187,600343.SH,18
188,600503.SH,14
189,600439.SH,14
190,600565.SH,1
191,600547.SH,1
192,600562.SH,14
193,600273.SH,17
194,600527.SH,7
195,601808.SH,10
196,601066.SH,14
197,600928.SH,1
198,600993.SH,10
199,600563.SH,1
200,600476.SH,10
201,600477.SH,1
202,600004.SH,15
203,600597.SH,16
204,600559.SH,15
205,600021.SH,8
206,600026.SH,8
207,688010.SH,14
208,688218.SH,17
209,601107.SH,14
210,600251.SH,15
211,600549.SH,4
212,600020.SH,14
213,600967.SH,4
214,600587.SH,8
215,600595.SH,8
216,600340.SH,1
217,600531.SH,10
218,688108.SH,4
219,603203.SH,10
220,688333.SH,14
221,600015.SH,14
222,600576.SH,16
223,600579.SH,16
224,600479.SH,16
225,600449.SH,16
226,600507.SH,10
227,600438.SH,16
228,688188.SH,1
229,600505.SH,8
230,603758.SH,6
231,688118.SH,6
232,600969.SH,16
233,600271.SH,1
234,600577.SH,1
235,600538.SH,10
236,600570.SH,8
237,603826.SH,16
238,600375.SH,1
239,600516.SH,17
240,600403.SH,16
241,600521.SH,14
242,688090.SH,18
243,688288.SH,8
244,600593.SH,10
245,600572.SH,8
246,600469.SH,10
247,600489.SH,16
248,600988.SH,8
249,600452.SH,19
250,600397.SH,10
251,600525.SH,10
252,600031.SH,10
253,600030.SH,4
254,600502.SH,4
255,600429.SH,1
256,600371.SH,18
257,600586.SH,14
