,company,the 0 bert,the 1 bert,the 2 bert,the 3 bert,the 4 bert,the 5 bert,bag of words,pvdm 50 length,pvdbow 50 length,pvdm 100 length,pvdbow 100 length,pvdm 150 length,pvdbow 150 length,pvdm 200 length,pvdbow 200 length,pvdm 250 length,pvdbow 250 length,pvdm 300 length,pvdbow 300 length,pvdm 350 length,pvdbow 350 length,pvdm 400 length,pvdbow 400 length,lsi 200 length,lsi 300 length,lsi 400 length,lsi 500 length,lsi 600 length,lsi 700 length,lsi 800 length,lsi 900 length,lsi 1000 length,lsi 1100 length
0,603363.SH,0,3,15,22,4,19,11,23,10,0,14,1,5,10,17,1,2,8,7,4,0,17,4,3,20,22,20,3,17,9,22,20,21
1,603127.SH,14,13,20,11,15,21,11,23,10,16,13,1,12,10,20,24,20,8,24,13,12,4,4,8,20,22,7,3,17,12,23,19,21
2,601068.SH,9,11,4,21,2,2,22,24,4,24,24,12,14,13,22,14,7,20,14,19,15,22,23,20,20,21,3,13,17,3,19,3,20
3,603551.SH,7,18,16,6,6,2,11,20,10,17,13,8,12,16,17,16,14,0,24,1,12,3,24,8,20,22,7,3,17,9,4,3,21
4,603298.SH,7,18,16,11,15,21,0,5,5,22,11,6,21,5,5,13,5,0,16,17,6,3,0,8,20,22,20,3,17,13,4,5,21
5,603180.SH,1,18,16,11,6,2,12,18,10,7,13,8,12,16,7,13,14,0,24,17,12,3,24,8,20,22,20,3,17,9,4,7,21
6,688015.SH,20,25,23,11,15,21,4,20,5,21,20,8,4,16,19,16,9,0,16,1,25,3,14,8,20,25,18,3,17,9,22,3,21
7,603898.SH,13,1,9,5,16,23,11,20,10,25,18,13,12,16,17,16,2,0,7,17,12,12,4,8,20,22,7,9,17,5,22,7,25
8,603218.SH,19,0,16,6,13,19,11,5,10,7,14,6,21,16,5,13,5,0,16,17,6,12,0,8,20,22,7,3,17,9,4,7,25
9,603007.SH,9,11,14,2,15,21,22,24,16,24,24,12,14,11,12,25,7,23,14,24,15,22,23,10,25,17,3,13,17,3,19,17,23
10,603722.SH,3,0,24,6,21,19,11,7,10,2,2,19,21,18,17,0,5,9,16,17,12,12,0,8,20,22,20,3,17,12,22,7,21
11,603353.SH,3,20,14,4,16,17,11,2,13,9,7,18,5,20,3,4,12,15,11,25,16,13,4,8,20,22,7,3,17,12,9,20,21
12,603001.SH,2,13,19,10,16,0,11,0,10,25,14,1,5,10,0,24,13,8,7,25,0,4,4,8,20,22,7,3,17,12,22,7,21
13,688022.SH,7,12,23,11,15,21,0,18,5,5,9,8,0,16,19,13,9,0,16,1,6,3,10,8,20,22,23,3,0,13,16,8,0
14,603659.SH,19,25,16,11,15,21,11,7,5,2,13,19,21,18,5,13,5,0,24,17,12,3,24,14,15,7,20,3,20,5,5,13,21
15,603045.SH,20,18,9,5,13,19,11,10,10,2,15,19,21,18,5,0,5,9,16,12,6,12,0,8,20,22,7,3,17,9,22,3,21
16,601258.SH,13,8,5,4,17,16,11,9,10,9,14,5,5,14,0,3,13,12,7,25,0,6,4,8,20,22,7,3,16,9,5,7,21
17,601368.SH,9,11,6,9,22,21,12,16,21,24,16,12,12,22,24,25,4,23,24,24,8,22,4,8,20,22,7,3,17,9,22,7,21
18,603199.SH,17,9,8,9,24,4,11,21,21,9,16,0,12,23,8,20,16,2,7,25,0,13,4,14,25,22,14,11,17,12,4,20,2
19,688037.SH,7,18,16,11,21,19,11,18,5,5,4,13,21,16,5,13,5,0,16,17,6,12,0,8,20,22,20,6,17,9,3,3,21
20,603236.SH,21,12,23,11,15,21,0,3,24,14,19,16,0,4,19,15,25,17,16,9,6,7,0,8,20,8,7,3,17,13,16,25,21
21,603995.SH,19,0,16,11,21,19,11,7,10,2,14,13,21,16,5,13,5,9,16,17,12,12,24,8,20,22,7,3,14,9,5,3,21
22,601989.SH,7,18,16,11,15,2,11,5,5,22,13,6,21,16,5,13,24,0,16,12,12,3,24,8,20,22,7,3,17,9,4,13,25
23,601200.SH,9,11,4,11,15,2,1,16,18,24,3,12,15,22,22,14,6,20,18,22,5,0,8,8,20,22,21,3,17,9,22,7,21
24,603078.SH,19,0,24,11,21,19,11,7,10,2,2,13,21,18,5,0,5,0,16,17,12,3,24,0,20,22,7,3,17,5,22,3,21
25,601579.SH,2,3,15,22,13,0,11,23,10,0,17,1,5,10,0,24,13,8,7,16,0,4,24,8,0,22,7,3,17,4,9,7,21
26,688208.SH,20,25,23,11,15,21,0,25,20,5,9,6,0,5,19,16,9,0,16,1,6,3,10,8,2,22,20,3,2,9,2,8,0
27,601216.SH,12,0,0,22,16,23,10,16,10,3,13,13,12,19,17,3,14,20,24,15,12,23,24,8,20,22,7,21,17,9,22,7,21
28,601299.SH,7,18,16,11,15,2,12,5,5,22,13,6,21,5,5,13,5,0,16,17,6,3,0,8,20,7,7,3,17,9,22,3,21
29,601618.SH,11,14,4,2,9,25,1,2,1,24,3,10,25,13,9,14,6,12,18,19,24,23,1,8,20,22,22,5,17,11,22,7,19
30,601339.SH,3,0,0,22,16,15,11,10,10,19,14,13,12,10,17,0,14,9,24,17,12,14,24,8,20,22,7,3,17,9,22,7,21
31,603035.SH,7,18,16,11,13,19,11,5,5,22,4,6,21,5,5,13,5,0,16,17,6,3,0,8,20,22,7,3,2,9,17,7,21
32,688159.SH,24,25,23,11,15,2,15,3,24,5,19,8,22,16,13,16,25,0,16,1,9,3,7,8,20,20,20,3,17,13,12,12,0
