,ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,600000.SH,20190630,利息收入:发放贷款及垫款:个人贷款业务(产品),48310000000.0,,,CNY
1,600000.SH,20190630,非利息收入:手续费及佣金收入:结算业务(产品),532000000.0,,,CNY
2,600000.SH,20190630,利息收入:发放贷款及垫款:公司贷款业务(产品),44032000000.0,,,CNY
3,600000.SH,20190630,非利息收入:手续费及佣金收入:担保承诺业务(产品),1184000000.0,,,CNY
4,600000.SH,20190630,利息收入:其他债权投资(产品),7511000000.0,,,CNY
5,600000.SH,20190630,非利息收入:手续费及佣金收入:银行卡业务(产品),14627000000.0,,,CNY
6,600000.SH,20190630,利息收入:租赁业务(产品),1191000000.0,,,CNY
7,600000.SH,20190630,利息收入:买入返售金融资产(产品),953000000.0,,,CNY
8,600000.SH,20190630,利息收入:其他(产品),167000000.0,,,CNY
9,600000.SH,20190630,利息收入:存放中央银行款项(产品),3110000000.0,,,CNY
10,600000.SH,20190630,非利息收入:手续费及佣金收入:其他(产品),1039000000.0,,,CNY
11,600000.SH,20190630,利息收入:发放贷款及垫款:票据贴现业务(产品),4886000000.0,,,CNY
12,600000.SH,20190630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),6786000000.0,,,CNY
13,600000.SH,20190630,利息收入:拆出资金(产品),4206000000.0,,,CNY
14,600000.SH,20190630,利息收入:债权投资(产品),24420000000.0,,,CNY
15,600000.SH,20190630,非利息收入:手续费及佣金收入:代理委托业务(产品),1536000000.0,,,CNY
16,600000.SH,20190630,非利息收入:手续费及佣金收入:投行业务手续费(产品),1811000000.0,,,CNY
17,600000.SH,20190630,利息收入:存放同业和其他金融机构款项(产品),1311000000.0,,,CNY
18,600000.SH,20181231,利息收入:租赁业务(产品),2071000000.0,,,CNY
19,600000.SH,20181231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),12831000000.0,,,CNY
20,600000.SH,20181231,利息收入:拆出资金(产品),5775000000.0,,,CNY
21,600000.SH,20181231,利息收入:买入返售金融资产(产品),2141000000.0,,,CNY
22,600000.SH,20181231,利息收入:发放贷款及垫款:公司贷款业务(产品),85927000000.0,,,CNY
23,600000.SH,20181231,非利息收入:手续费及佣金收入:投行业务手续费(产品),3048000000.0,,,CNY
24,600000.SH,20181231,非利息收入:手续费及佣金收入:代理委托业务(产品),1883000000.0,,,CNY
25,600000.SH,20181231,利息收入:存放同业和其他金融机构款项(产品),2659000000.0,,,CNY
26,600000.SH,20181231,利息收入:存放中央银行款项(产品),6806000000.0,,,CNY
27,600000.SH,20181231,利息收入:债券投资(产品),68006000000.0,,,CNY
28,600000.SH,20181231,利息收入:其他(产品),604000000.0,,,CNY
29,600000.SH,20181231,利息收入:发放贷款及垫款:票据贴现业务(产品),7939000000.0,,,CNY
30,600000.SH,20181231,非利息收入:手续费及佣金收入:银行卡业务(产品),23390000000.0,,,CNY
31,600000.SH,20181231,利息收入:发放贷款及垫款:个人贷款业务(产品),85560000000.0,,,CNY
32,600000.SH,20181231,非利息收入:手续费及佣金收入:担保承诺业务(产品),2276000000.0,,,CNY
33,600000.SH,20181231,非利息收入:手续费及佣金收入:其他(产品),1757000000.0,,,CNY
34,600000.SH,20181231,非利息收入:手续费及佣金收入:结算业务(产品),1020000000.0,,,CNY
35,600000.SH,20180630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),6471000000.0,,,CNY
36,600000.SH,20180630,非利息收入:手续费及佣金收入:代理委托业务(产品),1075000000.0,,,CNY
37,600000.SH,20180630,利息收入:存放中央银行款项(产品),3274000000.0,,,CNY
38,600000.SH,20180630,非利息收入:手续费及佣金收入:其他(产品),1007000000.0,,,CNY
39,600000.SH,20180630,非利息收入:手续费及佣金收入:银行卡业务(产品),10697000000.0,,,CNY
40,600000.SH,20180630,利息收入:债券投资(产品),36791000000.0,,,CNY
41,600000.SH,20180630,利息收入:租赁业务(产品),986000000.0,,,CNY
42,600000.SH,20180630,非利息收入:手续费及佣金收入:投行业务手续费(产品),1602000000.0,,,CNY
43,600000.SH,20180630,非利息收入:手续费及佣金收入:银行卡业务(产品),10697000000.0,,,CNY
44,600000.SH,20180630,利息收入:发放贷款及垫款:票据贴现业务(产品),3017000000.0,,,CNY
45,600000.SH,20180630,非利息收入:手续费及佣金收入:担保承诺业务(产品),1321000000.0,,,CNY
46,600000.SH,20180630,非利息收入:手续费及佣金收入:担保承诺业务(产品),1321000000.0,,,CNY
47,600000.SH,20180630,利息收入:发放贷款及垫款:个人贷款业务(产品),41096000000.0,,,CNY
48,600000.SH,20180630,利息收入:发放贷款及垫款:票据贴现业务(产品),3017000000.0,,,CNY
49,600000.SH,20180630,利息收入:存放同业和其他金融机构款项(产品),1652000000.0,,,CNY
50,600000.SH,20180630,利息收入:其他(产品),249000000.0,,,CNY
51,600000.SH,20180630,利息收入:发放贷款及垫款:个人贷款业务(产品),41096000000.0,,,CNY
52,600000.SH,20180630,利息收入:债券投资(产品),36791000000.0,,,CNY
53,600000.SH,20180630,非利息收入:手续费及佣金收入:结算业务(产品),490000000.0,,,CNY
54,600000.SH,20180630,利息收入:拆出资金(产品),2395000000.0,,,CNY
55,600000.SH,20180630,利息收入:发放贷款及垫款:公司贷款业务(产品),42032000000.0,,,CNY
56,600000.SH,20180630,利息收入:发放贷款及垫款:公司贷款业务(产品),42032000000.0,,,CNY
57,600000.SH,20180630,利息收入:买入返售金融资产(产品),1131000000.0,,,CNY
58,600000.SH,20171231,利息收入(产品),245818000000.0,,,CNY
59,600000.SH,20171231,利息收入:发放贷款及垫款:公司贷款业务(产品),81025000000.0,,,CNY
