,company,DEC_cluster
0,603363.SH,13
1,603128.SH,25
2,688039.SH,20
3,603127.SH,10
4,601068.SH,10
5,601969.SH,14
6,603551.SH,21
7,603637.SH,10
8,603298.SH,11
9,603180.SH,10
10,688015.SH,1
11,603898.SH,1
12,601689.SH,9
13,603158.SH,9
14,688021.SH,20
15,603218.SH,1
16,603603.SH,7
17,603007.SH,11
18,600996.SH,25
19,603722.SH,8
20,603353.SH,4
21,603001.SH,0
22,603955.SH,13
23,688022.SH,10
24,600936.SH,18
25,603716.SH,0
26,603659.SH,20
27,603017.SH,7
28,603045.SH,20
29,601258.SH,14
30,601368.SH,6
31,688139.SH,7
32,601766.SH,1
33,603199.SH,6
34,688037.SH,8
35,603790.SH,22
36,603236.SH,15
37,601633.SH,19
38,603995.SH,8
39,601989.SH,20
40,601200.SH,10
41,601801.SH,18
42,603078.SH,20
43,601579.SH,10
44,688208.SH,8
45,601216.SH,10
46,603533.SH,25
47,600939.SH,14
48,601299.SH,20
49,601618.SH,10
50,600919.SH,23
51,601339.SH,11
52,603035.SH,10
53,688159.SH,21
54,603680.SH,3
55,603301.SH,22
56,601231.SH,22
57,688033.SH,22
58,688258.SH,12
59,603330.SH,1
60,603578.SH,20
61,603386.SH,3
62,603500.SH,21
63,603896.SH,19
64,603399.SH,7
65,603661.SH,10
66,601669.SH,7
67,601860.SH,18
68,603566.SH,7
69,601330.SH,10
70,601069.SH,11
71,603617.SH,21
72,603116.SH,10
73,603730.SH,8
74,603583.SH,10
75,603878.SH,1
76,603985.SH,21
77,688016.SH,1
78,601636.SH,7
79,603991.SH,9
80,601882.SH,1
81,603029.SH,10
82,603055.SH,1
83,601127.SH,10
84,603638.SH,1
85,603010.SH,7
86,603949.SH,9
87,603738.SH,15
88,603601.SH,8
89,603099.SH,0
90,603090.SH,21
91,603920.SH,21
92,688036.SH,14
93,603881.SH,0
94,603041.SH,10
95,603613.SH,18
96,603318.SH,10
97,603901.SH,6
98,601366.SH,5
99,603665.SH,20
100,603676.SH,10
101,603662.SH,15
102,603773.SH,8
103,601698.SH,12
104,603701.SH,7
105,601615.SH,10
106,603157.SH,13
107,600901.SH,16
108,688202.SH,13
109,601512.SH,11
110,603167.SH,18
111,603115.SH,1
112,603359.SH,13
113,600917.SH,10
114,603989.SH,10
115,601179.SH,3
116,688166.SH,13
117,601985.SH,10
118,601116.SH,16
119,688186.SH,3
120,603488.SH,15
121,603507.SH,21
122,601163.SH,21
123,601966.SH,20
124,601608.SH,21
125,603042.SH,15
126,603489.SH,20
127,603387.SH,10
128,603912.SH,1
129,688098.SH,14
130,603886.SH,14
131,603378.SH,10
132,603138.SH,7
133,603351.SH,10
134,601718.SH,10
135,601199.SH,10
136,600968.SH,12
137,603786.SH,15
138,603569.SH,12
139,603022.SH,6
140,603311.SH,15
141,601616.SH,8
142,603355.SH,8
143,601599.SH,0
144,603998.SH,14
145,688023.SH,1
146,603368.SH,2
147,601106.SH,8
148,603577.SH,10
149,603003.SH,14
150,600475.SH,11
151,600349.SH,21
152,600348.SH,7
153,600481.SH,10
154,600557.SH,10
155,600553.SH,7
156,600487.SH,22
157,600446.SH,10
158,600039.SH,10
159,600401.SH,21
160,603458.SH,13
161,603323.SH,23
162,600592.SH,10
163,600960.SH,15
164,600012.SH,10
165,600432.SH,7
166,600485.SH,22
167,600050.SH,7
168,603178.SH,20
169,603679.SH,1
170,603121.SH,3
171,688198.SH,7
172,601375.SH,5
173,600552.SH,9
174,600992.SH,21
175,600460.SH,10
176,600406.SH,1
177,600327.SH,18
178,600490.SH,13
179,600493.SH,10
180,600511.SH,24
181,688068.SH,10
182,601916.SH,18
183,688100.SH,9
184,601108.SH,2
185,600357.SH,12
186,600035.SH,10
187,600343.SH,20
188,600503.SH,7
189,600439.SH,10
190,600565.SH,10
191,600547.SH,10
192,600562.SH,20
193,600273.SH,10
194,600527.SH,11
195,601808.SH,12
196,601066.SH,23
197,600928.SH,5
198,600993.SH,13
199,600563.SH,7
200,600476.SH,10
201,600477.SH,6
202,600004.SH,23
203,600597.SH,14
204,600559.SH,10
205,600021.SH,11
206,600026.SH,24
207,688010.SH,9
208,688218.SH,1
209,601107.SH,11
210,600251.SH,10
211,600549.SH,15
212,600020.SH,14
213,600967.SH,15
214,600587.SH,11
215,600595.SH,1
216,600340.SH,10
217,600531.SH,13
218,688108.SH,1
219,603203.SH,8
220,688333.SH,3
221,600015.SH,5
222,600576.SH,24
223,600579.SH,10
224,600479.SH,13
225,600449.SH,13
226,600507.SH,13
227,600438.SH,7
228,688188.SH,1
229,600505.SH,10
230,603758.SH,20
231,688118.SH,10
232,600969.SH,7
233,600271.SH,22
234,600577.SH,21
235,600538.SH,6
236,600570.SH,10
237,603826.SH,3
238,600375.SH,1
239,600516.SH,8
240,600403.SH,10
241,600521.SH,7
242,688090.SH,20
243,688288.SH,3
244,600593.SH,7
245,600572.SH,7
246,600469.SH,1
247,600489.SH,10
248,600988.SH,10
249,600452.SH,7
250,600397.SH,10
251,600525.SH,10
252,600031.SH,1
253,600030.SH,2
254,600502.SH,7
255,600429.SH,13
256,600371.SH,10
257,600586.SH,10
258,600561.SH,0
259,600491.SH,10
260,600545.SH,10
261,600990.SH,10
262,600370.SH,10
263,600584.SH,21
264,600571.SH,10
265,600352.SH,10
266,603139.SH,13
267,600423.SH,14
268,600522.SH,9
269,600355.SH,10
270,600463.SH,7
271,600470.SH,17
272,600114.SH,15
273,603890.SH,8
274,601880.SH,23
275,600900.SH,10
276,600480.SH,21
277,600573.SH,10
278,600963.SH,10
279,600515.SH,13
280,600980.SH,10
281,600517.SH,10
282,600529.SH,6
283,600462.SH,21
284,688123.SH,21
285,603938.SH,7
286,603076.SH,21
287,600495.SH,10
288,600478.SH,10
289,600976.SH,10
290,600560.SH,10
291,600467.SH,10
292,600459.SH,11
293,600435.SH,8
294,600551.SH,2
295,603319.SH,3
296,601628.SH,4
297,688357.SH,13
298,603879.SH,1
299,600392.SH,1
300,600510.SH,10
301,600497.SH,10
302,600591.SH,16
303,600540.SH,11
304,600590.SH,10
305,600184.SH,1
306,600496.SH,11
307,688006.SH,20
308,601838.SH,5
309,601997.SH,23
310,600926.SH,24
311,688389.SH,12
312,603712.SH,20
313,603976.SH,10
314,603895.SH,3
315,601005.SH,11
316,688138.SH,8
317,600426.SH,10
318,600537.SH,8
319,600526.SH,10
320,603823.SH,10
321,603517.SH,14
322,601099.SH,4
323,601128.SH,18
