"证券代码
Securities Code","证券名称
Securities Name","证券英文名称
Securities Name(Eng.)","交易所
Exchange","中证一级代码
CICS 1st Level Code","中证一级名称
CICS 1st Level Name","中证一级英文名称
CICS 1st Level Name(Eng.)","中证二级代码
CICS 2nd Level Code","中证二级名称
CICS 2nd Level Name","中证二级英文名称
CICS 2nd Level Name(Eng.)","中证三级代码
CICS 3rd Level Code","中证三级名称
CICS 3rd Level Name","中证三级英文名称
CICS 3rd Level Name(Eng.)","中证四级代码
CICS 4th Level Code","中证四级名称
CICS 4th Level Name","中证四级英文名称
CICS 4th Level Name(Eng.)","沪深300行业指数
CSI300 Sector Index","沪深300行业指数英文名称
CSI300 Sector Index Name (Eng.)"
000001,平安银行,"Ping An Bank Co., Ltd.",Shenzhen,06,金融地产,Financials,0601,银行,Banks,060101,商业银行,Commercial Banks,06010101,综合性银行,Diversified Banks,300金融,CSI 300 Financials
000002,万科Ａ,China Vanke Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,300金融,CSI 300 Financials
000004,国农科技,Shenzhen CAU Technology Co Ltd,Shenzhen,07,信息技术,Information Technology,0701,计算机运用,Computer Application,070101,互联网服务,Internet Services,07010102,移动互联网信息服务,Mobile Internet Information Service,,
000005,世纪星源,Shenzhen Fountain Corporation,Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020107,环保设备、工程与服务,"Environmental Protection Equipment, Engineering and Service",02010703,环保服务,Environmental Protection Service,,
000006,深振业Ａ,Shenzhen Zhenye (Group) Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
000007,全新好,"Shenzhen Quanxinhao Co.,Ltd",Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060502,房地产管理与服务,Real Estate Management & Services,06050201,房地产管理与服务,Real Estate Management & Services,,
000008,神州高铁,"China High-Speed Railway Technology Co., Ltd.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020106,机械制造,Machinery,02010605,铁路设备,Railway Equipment,,
000009,中国宝安,"China Baoan Group Co.,Ltd.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020105,工业集团企业,Industrial Conglomerates,02010501,工业集团企业,Industrial Conglomerates,,
000010,*ST美丽,"SHENZHEN ECOBEAUTY CO., LTD.",Shenzhen,02,工业,Industrials,0201,资本品,Capital Goods,020103,建筑与工程,Construction & Engineering,02010303,园林工程,Garden Engineering,,
000011,深物业A,Shenzhen Properties & Resources Development (Group) Co Ltd,Shenzhen,06,金融地产,Financials,0605,房地产,Real Estate,060501,房地产开发与园区,Real Estate  Development and Zone,06050101,房地产开发,Real Estate  Development,,
