,company,official_class
0,000001.SZ,银行
1,000002.SZ,房地产
2,000004.SZ,计算机运用
3,000005.SZ,资本品
4,000006.SZ,房地产
5,000007.SZ,房地产
6,000008.SZ,资本品
7,000009.SZ,资本品
8,000010.SZ,资本品
9,000011.SZ,房地产
10,000012.SZ,原材料
11,000014.SZ,房地产
12,000016.SZ,耐用消费品与服装
13,000017.SZ,耐用消费品与服装
14,其它,其它
15,000020.SZ,计算机及电子设备
16,000021.SZ,计算机及电子设备
17,000023.SZ,原材料
18,000025.SZ,汽车与汽车零部件
19,000026.SZ,零售业
20,000027.SZ,公用事业
21,000028.SZ,医药生物
22,000029.SZ,房地产
23,000030.SZ,汽车与汽车零部件
24,000031.SZ,房地产
25,000032.SZ,计算机及电子设备
26,000034.SZ,计算机及电子设备
27,000035.SZ,资本品
28,000036.SZ,房地产
29,000037.SZ,公用事业
30,000038.SZ,传媒
31,000039.SZ,资本品
32,000040.SZ,公用事业
33,000042.SZ,房地产
34,000045.SZ,计算机及电子设备
35,000046.SZ,房地产
36,000048.SZ,食品、饮料与烟草
37,000049.SZ,资本品
38,000050.SZ,计算机及电子设备
39,000055.SZ,资本品
40,000056.SZ,房地产
41,000058.SZ,商业服务与用品
42,000059.SZ,能源
43,000060.SZ,原材料
44,000061.SZ,商业服务与用品
45,000062.SZ,商业服务与用品
46,000063.SZ,通信设备
47,000065.SZ,资本品
48,000066.SZ,计算机及电子设备
49,000068.SZ,资本品
50,000069.SZ,房地产
51,000070.SZ,通信设备
52,000078.SZ,医药生物
53,000088.SZ,交通运输
54,000089.SZ,交通运输
55,000090.SZ,资本品
56,000096.SZ,能源
57,000099.SZ,交通运输
58,000100.SZ,耐用消费品与服装
59,000150.SZ,医疗器械与服务
60,000151.SZ,商业服务与用品
61,000153.SZ,医药生物
62,000155.SZ,原材料
63,000156.SZ,传媒
64,000157.SZ,资本品
65,000158.SZ,耐用消费品与服装
66,000159.SZ,能源
67,000166.SZ,资本市场
68,000301.SZ,原材料
69,000333.SZ,耐用消费品与服装
70,000338.SZ,资本品
71,000400.SZ,资本品
72,000401.SZ,原材料
73,000402.SZ,房地产
74,000403.SZ,医药生物
75,000404.SZ,资本品
76,000407.SZ,公用事业
77,000408.SZ,原材料
78,000409.SZ,原材料
79,000410.SZ,资本品
80,000411.SZ,医药生物
81,000413.SZ,计算机及电子设备
82,000415.SZ,商业服务与用品
83,000416.SZ,其他金融
84,000417.SZ,零售业
85,000419.SZ,零售业
86,000420.SZ,原材料
87,000421.SZ,公用事业
88,000422.SZ,原材料
89,000423.SZ,医药生物
90,000425.SZ,资本品
91,000426.SZ,原材料
92,000428.SZ,消费者服务
93,000429.SZ,交通运输
94,000430.SZ,消费者服务
95,000488.SZ,原材料
96,000498.SZ,资本品
97,000501.SZ,零售业
98,000502.SZ,房地产
99,000503.SZ,计算机运用
100,000504.SZ,资本品
101,000505.SZ,食品、饮料与烟草
102,000506.SZ,原材料
103,000507.SZ,交通运输
104,000509.SZ,资本品
105,000510.SZ,原材料
106,000513.SZ,医药生物
107,000514.SZ,房地产
108,000516.SZ,医疗器械与服务
109,000517.SZ,房地产
110,000518.SZ,医药生物
111,000519.SZ,资本品
112,000520.SZ,交通运输
113,000521.SZ,耐用消费品与服装
114,000523.SZ,家庭与个人用品
115,000524.SZ,消费者服务
116,000525.SZ,原材料
117,000526.SZ,消费者服务
118,000528.SZ,资本品
119,000529.SZ,食品、饮料与烟草
120,000530.SZ,资本品
121,000531.SZ,公用事业
122,000532.SZ,计算机及电子设备
123,000533.SZ,资本品
124,000534.SZ,医药生物
125,000536.SZ,计算机及电子设备
126,000537.SZ,房地产
127,000538.SZ,医药生物
128,000539.SZ,公用事业
129,000540.SZ,房地产
130,000541.SZ,耐用消费品与服装
131,000543.SZ,公用事业
132,000544.SZ,资本品
133,000545.SZ,原材料
134,000546.SZ,原材料
135,000547.SZ,资本品
136,000548.SZ,交通运输
137,000550.SZ,汽车与汽车零部件
138,000551.SZ,资本品
139,000552.SZ,能源
140,000553.SZ,原材料
141,000554.SZ,能源
142,000555.SZ,计算机运用
143,000557.SZ,交通运输
144,000558.SZ,房地产
145,000559.SZ,汽车与汽车零部件
146,000560.SZ,房地产
147,000561.SZ,通信设备
148,000563.SZ,其他金融
149,000564.SZ,零售业
150,000565.SZ,原材料
151,000566.SZ,医药生物
152,000567.SZ,资本市场
153,000568.SZ,食品、饮料与烟草
154,000570.SZ,资本品
155,000571.SZ,能源
156,000572.SZ,汽车与汽车零部件
157,000573.SZ,房地产
158,000576.SZ,原材料
159,000581.SZ,汽车与汽车零部件
160,000582.SZ,交通运输
161,000584.SZ,资本品
162,000585.SZ,资本品
163,000586.SZ,通信设备
164,000587.SZ,耐用消费品与服装
165,000589.SZ,汽车与汽车零部件
166,000590.SZ,医药生物
167,000591.SZ,公用事业
168,000592.SZ,原材料
169,000593.SZ,公用事业
170,000595.SZ,资本品
171,000596.SZ,食品、饮料与烟草
172,000597.SZ,医药生物
173,000598.SZ,公用事业
174,000599.SZ,汽车与汽车零部件
175,000600.SZ,公用事业
176,000601.SZ,公用事业
177,000603.SZ,原材料
178,000605.SZ,公用事业
179,000606.SZ,计算机运用
180,000607.SZ,传媒
181,000608.SZ,房地产
182,000609.SZ,房地产
183,000610.SZ,消费者服务
184,000611.SZ,耐用消费品与服装
185,000612.SZ,原材料
186,000613.SZ,消费者服务
187,000615.SZ,房地产
188,000616.SZ,房地产
189,000617.SZ,其他金融
190,000619.SZ,资本品
191,000620.SZ,房地产
192,000622.SZ,汽车与汽车零部件
193,000623.SZ,医药生物
194,000625.SZ,汽车与汽车零部件
195,000626.SZ,商业服务与用品
196,其它,其它
197,000628.SZ,资本品
198,000629.SZ,原材料
199,000630.SZ,原材料
200,000631.SZ,房地产
201,000632.SZ,商业服务与用品
202,000633.SZ,原材料
203,000635.SZ,原材料
204,000636.SZ,计算机及电子设备
205,000637.SZ,能源
206,000638.SZ,医疗器械与服务
207,000639.SZ,食品、饮料与烟草
208,000650.SZ,医药生物
209,000651.SZ,耐用消费品与服装
210,000652.SZ,商业服务与用品
211,000655.SZ,原材料
212,000656.SZ,房地产
213,000657.SZ,原材料
214,000659.SZ,原材料
215,000661.SZ,医药生物
216,000662.SZ,计算机运用
217,000663.SZ,耐用消费品与服装
218,000665.SZ,传媒
219,000666.SZ,资本市场
220,000667.SZ,房地产
221,000668.SZ,房地产
222,000669.SZ,公用事业
223,000670.SZ,半导体
224,000671.SZ,房地产
225,000672.SZ,原材料
226,000673.SZ,传媒
227,000676.SZ,计算机运用
228,000677.SZ,原材料
229,000678.SZ,汽车与汽车零部件
230,000679.SZ,零售业
231,000680.SZ,资本品
232,000681.SZ,传媒
233,000682.SZ,资本品
234,000683.SZ,原材料
235,000685.SZ,公用事业
236,000686.SZ,资本市场
237,000687.SZ,资本品
238,000688.SZ,原材料
239,000690.SZ,公用事业
240,000691.SZ,房地产
241,000692.SZ,公用事业
242,000695.SZ,商业服务与用品
243,000697.SZ,资本品
244,000698.SZ,原材料
245,000700.SZ,汽车与汽车零部件
246,000701.SZ,商业服务与用品
247,000702.SZ,食品、饮料与烟草
