,company,paper_class
0,000786.SZ,0
1,600815.SH,0
2,600298.SH,0
3,002191.SZ,0
4,600120.SH,0
5,000155.SZ,0
6,600306.SH,0
7,600095.SH,0
8,600712.SH,0
9,002811.SZ,0
10,603326.SH,0
11,002162.SZ,0
12,300022.SZ,0
13,600827.SH,0
14,600235.SH,0
15,603499.SH,0
16,600655.SH,0
17,600689.SH,0
18,000571.SZ,0
19,600759.SH,0
20,002264.SZ,0
21,300632.SZ,0
22,603101.SH,0
23,300135.SZ,0
24,600978.SH,0
25,600821.SH,0
26,002652.SZ,0
27,600700.SH,0
28,603580.SH,0
29,600774.SH,0
30,000721.SZ,0
31,002830.SZ,0
32,002645.SZ,0
33,002086.SZ,0
34,600878.SH,0
35,600614.SH,0
36,000419.SZ,0
37,603180.SH,0
38,002735.SZ,0
39,600311.SH,0
40,600051.SH,0
41,000882.SZ,0
42,600858.SH,0
43,300103.SZ,0
44,600738.SH,0
45,002243.SZ,0
46,002374.SZ,0
47,600385.SH,0
48,002572.SZ,0
49,000911.SZ,0
50,601010.SH,0
51,600425.SH,0
52,000592.SZ,0
53,600755.SH,0
54,002117.SZ,0
55,600713.SH,0
56,601366.SH,0
57,002707.SZ,0
58,002803.SZ,0
59,600729.SH,0
60,603708.SH,0
61,603043.SH,0
62,002012.SZ,0
63,603429.SH,0
64,600532.SH,0
65,600807.SH,0
66,603816.SH,0
67,603123.SH,0
68,002419.SZ,0
69,300272.SZ,0
70,600669.SH,0
71,000759.SZ,0
72,002831.SZ,0
73,600516.SH,0
74,600838.SH,0
75,002656.SZ,0
76,600189.SH,0
77,600352.SH,0
78,603058.SH,0
79,600817.SH,0
80,000699.SZ,0
81,000158.SZ,0
82,600302.SH,0
83,600730.SH,0
84,600682.SH,0
85,002846.SZ,0
86,002306.SZ,0
87,002798.SZ,0
88,603980.SH,0
89,600165.SH,0
90,000796.SZ,0
91,600836.SH,0
92,002582.SZ,0
93,000601.SZ,0
94,603030.SH,0
95,600007.SH,0
96,300616.SZ,0
97,000058.SZ,0
98,600145.SH,0
99,603226.SH,0
100,600811.SH,0
101,601968.SH,0
102,600337.SH,0
103,600391.SH,0
104,600265.SH,0
105,600697.SH,0
106,600672.SH,0
107,002589.SZ,0
108,000691.SZ,0
109,600598.SH,0
110,300149.SZ,0
111,600166.SH,0
112,000408.SZ,0
113,600327.SH,0
114,600843.SH,0
115,600870.SH,0
116,600714.SH,0
117,600723.SH,0
118,600076.SH,0
119,002037.SZ,0
120,600693.SH,0
121,600336.SH,0
122,600793.SH,0
